,SO2,CO,O3,PM10,PM25,NO2,pr
117,1.5,0.76,0.0,34.0,18.0,13.2,
118,1.0,0.79,33.0,34.0,18.0,18.2,
119,0.8,0.84,30.0,38.0,20.0,15.8,
120,0.7,0.89,28.0,38.0,21.0,14.4,
121,0.7,0.91,27.0,37.0,22.0,13.9,
122,0.6,0.94,26.0,37.0,22.0,13.3,
123,0.5,0.91,26.0,37.0,22.0,11.7,
124,0.5,0.91,27.0,38.0,22.0,11.7,
125,0.5,0.91,27.0,38.0,23.0,11.7,
126,0.5,0.87,27.0,38.0,24.0,9.0,
127,0.5,0.8,30.0,38.0,24.0,6.2,
128,0.5,0.76,31.0,36.0,23.0,7.1,
129,0.4,0.75,32.0,38.0,23.0,10.1,
130,0.7,0.83,32.0,40.0,23.0,15.9,
131,0.8,0.89,32.0,41.0,24.0,16.1,
132,0.8,0.88,32.0,42.0,24.0,12.9,
133,0.8,0.88,32.0,42.0,25.0,13.0,
134,0.8,0.88,33.0,40.0,24.0,11.2,
135,0.9,0.92,34.0,39.0,23.0,10.1,
136,0.8,0.94,35.0,38.0,22.0,9.4,
137,0.8,0.94,35.0,38.0,22.0,11.3,
138,0.7,0.88,37.0,38.0,21.0,12.0,
139,0.6,0.84,37.0,37.0,21.0,14.2,
140,0.7,0.88,36.0,36.0,21.0,17.8,
141,0.8,0.9,35.0,34.0,20.0,17.4,
142,0.6,0.92,33.0,32.0,20.0,14.2,
143,0.5,0.87,31.0,32.0,20.0,13.2,
144,0.6,0.87,29.0,32.0,19.0,14.4,
145,0.6,0.84,27.0,30.0,19.0,15.3,
146,0.4,0.8,26.0,30.0,19.0,10.0,
147,0.8,0.74,26.0,28.0,18.0,8.1,
148,0.8,0.69,27.0,26.0,18.0,8.1,
149,0.8,0.63,27.0,24.0,18.0,8.1,
150,0.9,0.55,28.0,24.0,17.0,7.5,
151,0.9,0.51,29.0,24.0,17.0,7.3,
152,0.9,0.47,31.0,25.0,17.0,7.0,
153,1.1,0.47,33.0,26.0,16.0,9.6,
154,1.2,0.56,33.0,28.0,17.0,13.7,
155,1.3,0.65,33.0,28.0,17.0,14.9,
156,1.5,0.64,34.0,29.0,17.0,15.3,
157,1.4,0.63,35.0,31.0,16.0,10.8,
158,1.4,0.65,37.0,32.0,15.0,11.1,
159,1.2,0.67,38.0,34.0,15.0,11.0,
160,1.1,0.68,40.0,36.0,15.0,10.3,
161,0.9,0.67,41.0,38.0,16.0,9.8,
162,1.0,0.62,42.0,40.0,17.0,13.3,
163,1.0,0.58,43.0,42.0,18.0,13.6,
164,1.1,0.62,43.0,42.0,18.0,17.3,
165,1.0,0.65,42.0,38.0,18.0,13.4,
166,0.8,0.66,41.0,36.0,18.0,11.3,
