,SO2,CO,O3,PM10,PM25,NO2,pr
117,2.8,0.74,10.0,15.0,17.0,23.0,
118,2.6,0.7,12.0,24.0,20.0,21.0,
119,1.9,0.63,20.0,26.0,24.0,15.0,
120,2.1,0.59,23.0,22.0,21.0,13.0,
121,2.3,0.56,22.0,11.0,21.0,13.0,
122,1.7,0.53,28.0,9.0,21.0,11.0,
123,1.5,0.49,35.0,7.0,15.0,9.3,
124,1.8,0.42,40.0,7.0,13.0,8.9,
125,2.5,0.41,39.0,8.0,3.0,11.0,
126,2.4,0.44,40.0,16.0,7.0,9.6,
127,2.5,0.5,34.0,25.0,9.0,13.0,
128,2.6,0.56,24.0,17.0,19.0,19.0,
129,2.4,0.56,23.0,18.0,19.0,21.0,
130,2.7,0.52,26.0,11.0,13.0,19.0,
131,2.8,0.5,27.0,21.0,7.0,19.0,
132,2.1,0.45,35.0,22.0,8.0,15.0,
133,2.1,0.42,38.0,23.0,8.0,14.0,
134,2.1,0.43,37.0,18.0,6.0,13.0,
135,1.6,0.4,37.0,18.0,4.0,14.0,
136,2.2,0.47,31.0,22.0,7.0,17.0,
137,2.5,0.57,26.0,29.0,13.0,21.0,
138,2.1,0.54,29.0,31.0,23.0,18.0,
139,2.4,0.54,27.0,38.0,27.0,18.0,
140,2.7,0.52,27.0,36.0,34.0,18.0,
141,2.2,0.49,29.0,43.0,27.0,17.0,
142,2.5,0.48,29.0,35.0,33.0,17.0,
143,2.2,0.42,30.0,38.0,29.0,13.0,
144,1.7,0.43,24.0,26.0,27.0,13.0,
145,1.7,0.4,23.0,24.0,18.0,12.0,
146,1.5,0.31,33.0,18.0,17.0,8.1,
147,2.0,0.29,30.0,20.0,18.0,7.4,
148,2.6,0.29,28.0,21.0,13.0,9.0,
149,1.6,0.23,32.0,17.0,10.0,6.0,
150,1.5,0.21,35.0,17.0,9.0,5.7,
151,2.0,0.25,32.0,15.0,18.0,10.0,
152,2.2,0.29,26.0,25.0,20.0,14.0,
153,1.9,0.29,27.0,24.0,18.0,15.0,
154,2.2,0.31,25.0,31.0,13.0,16.0,
155,2.2,0.31,25.0,31.0,13.0,16.0,
156,2.7,0.32,28.0,29.0,11.0,13.0,
157,2.3,0.29,31.0,30.0,12.0,11.0,
158,2.9,0.3,29.0,26.0,5.0,13.0,
159,3.2,0.31,27.0,23.0,7.0,14.0,
160,2.6,0.34,24.0,16.0,7.0,18.0,
161,2.5,0.38,21.0,10.0,11.0,18.0,
162,2.4,0.39,19.0,10.0,17.0,18.0,
163,2.9,0.36,19.0,10.0,11.0,18.0,
164,2.4,0.34,19.0,10.0,15.0,17.0,
165,1.9,0.32,21.0,8.0,6.0,16.0,
166,2.1,0.33,20.0,5.0,11.0,16.0,
167,2.0,0.29,22.0,5.0,3.0,12.0,
168,1.8,0.23,26.0,12.0,3.0,9.3,
169,1.4,0.21,23.0,17.0,3.0,7.3,
170,1.1,0.18,26.0,16.0,2.0,6.1,
171,1.5,0.19,26.0,15.0,4.0,7.6,
172,1.6,0.21,23.0,12.0,2.0,12.0,
173,1.6,0.29,21.0,8.0,8.0,14.0,
174,2.1,0.33,19.0,10.0,9.0,18.0,
175,1.8,0.31,20.0,12.0,3.0,18.0,
176,1.5,0.31,23.0,11.0,4.0,18.0,
177,1.4,0.32,25.0,10.0,5.0,17.0,
178,1.4,0.29,26.0,12.0,4.0,16.0,
179,1.7,0.3,28.0,13.0,6.0,17.0,
180,1.7,0.32,29.0,18.0,7.0,17.0,
181,1.7,0.33,25.0,18.0,11.0,20.0,
182,1.7,0.42,17.0,27.0,10.0,22.0,
183,1.7,0.42,17.0,27.0,10.0,22.0,
184,2.5,0.54,8.1,37.0,11.0,27.0,
185,2.3,0.61,5.0,30.0,7.0,29.0,
186,2.7,0.89,2.9,30.0,9.0,31.0,
187,2.8,1.04,2.8,25.0,8.0,32.0,
188,2.9,1.16,2.9,25.0,12.0,30.0,
189,2.4,0.95,2.8,31.0,15.0,28.0,
190,3.3,0.93,2.7,33.0,18.0,24.0,
191,3.0,0.75,2.7,40.0,13.0,25.0,
192,3.4,0.74,2.6,33.0,15.0,24.0,
193,3.0,0.83,2.5,30.0,16.0,21.0,
194,3.2,0.75,2.5,29.0,24.0,21.0,
195,2.4,0.32,6.9,24.0,17.0,20.0,
196,2.2,0.41,11.0,25.0,23.0,20.0,
197,3.1,0.7,8.6,21.0,17.0,25.0,
198,3.4,0.57,15.0,25.0,22.0,23.0,
199,2.2,0.36,26.0,27.0,22.0,18.0,
200,2.1,0.36,35.0,28.0,26.0,18.0,
201,2.3,0.35,44.0,34.0,25.0,19.0,
202,1.8,0.26,52.0,34.0,19.0,13.0,
203,1.7,0.25,49.0,39.0,22.0,12.0,
204,1.4,0.23,43.0,36.0,21.0,14.0,
205,1.3,0.27,40.0,46.0,22.0,16.0,
206,1.5,0.33,31.0,46.0,15.0,20.0,
207,1.4,0.46,26.0,51.0,11.0,22.0,
208,1.4,0.44,24.0,44.0,7.0,23.0,
209,1.5,0.35,28.0,39.0,8.0,17.0,
210,1.7,0.48,16.0,43.0,6.0,28.0,
211,2.1,0.36,20.0,50.0,10.0,21.0,
212,2.1,0.47,17.0,52.0,16.0,22.0,
213,2.4,0.58,6.2,52.0,21.0,32.0,
214,1.5,0.3,22.0,53.0,18.0,16.0,
215,1.4,0.18,29.0,52.0,15.0,9.5,
216,1.1,0.15,32.0,40.0,19.0,5.5,
217,1.0,0.18,31.0,33.0,15.0,6.1,
218,1.1,0.18,28.0,31.0,11.0,7.4,
219,1.0,0.22,25.0,26.0,10.0,11.0,
220,1.1,0.38,19.0,23.0,16.0,17.0,
221,1.6,0.46,21.0,24.0,16.0,19.0,
222,1.6,0.35,24.0,30.0,25.0,17.0,
223,1.5,0.28,33.0,29.0,24.0,13.0,
224,1.5,0.28,40.0,31.0,15.0,14.0,
225,1.4,0.28,44.0,31.0,21.0,15.0,
226,1.2,0.23,48.0,33.0,24.0,12.0,
227,1.3,0.27,48.0,31.0,29.0,13.0,
228,1.2,0.26,42.0,33.0,25.0,14.0,
229,1.2,0.3,35.0,36.0,23.0,15.0,
230,1.3,0.41,27.0,41.0,29.0,21.0,
231,1.9,0.54,18.0,43.0,26.0,26.0,
232,1.8,0.47,17.0,49.0,26.0,23.0,
233,2.1,0.47,13.0,47.0,21.0,24.0,
234,2.1,0.49,9.9,51.0,23.0,26.0,
235,2.3,0.54,5.5,50.0,26.0,28.0,
236,2.3,0.45,8.2,55.0,34.0,23.0,
237,2.0,0.44,4.8,51.0,29.0,24.0,
238,1.8,0.32,9.8,33.0,21.0,17.0,
239,2.1,0.27,11.0,28.0,23.0,14.0,
240,1.9,0.28,9.2,23.0,22.0,15.0,
241,1.8,0.29,9.1,27.0,21.0,15.0,
242,1.7,0.33,9.4,29.0,23.0,15.0,
243,1.7,0.4,12.0,36.0,29.0,18.0,
244,2.7,0.5,16.0,32.0,22.0,19.0,
245,2.8,0.47,18.0,32.0,21.0,20.0,
246,2.2,0.32,33.0,28.0,12.0,15.0,
247,1.8,0.32,41.0,28.0,20.0,16.0,
248,1.7,0.32,43.0,27.0,17.0,16.0,
249,1.6,0.28,45.0,30.0,23.0,14.0,
250,1.4,0.28,46.0,27.0,25.0,14.0,
251,1.5,0.29,46.0,37.0,25.0,15.0,
252,1.5,0.35,40.0,49.0,30.0,15.0,
253,1.5,0.4,31.0,52.0,20.0,19.0,
254,1.7,0.48,21.0,47.0,24.0,24.0,
255,1.9,0.49,15.0,33.0,16.0,27.0,
256,1.7,0.46,16.0,40.0,20.0,23.0,
257,1.7,0.49,11.0,41.0,18.0,24.0,
258,1.8,0.51,9.0,43.0,21.0,24.0,
259,1.6,0.43,13.0,39.0,24.0,19.0,
260,1.6,0.39,16.0,32.0,23.0,14.0,
261,2.0,0.38,16.0,32.0,23.0,13.0,
262,1.9,0.35,21.0,28.0,16.0,12.0,
263,1.8,0.33,28.0,20.0,18.0,11.0,
264,1.6,0.31,33.0,10.0,9.0,8.7,
265,1.8,0.32,32.0,10.0,9.0,9.6,
266,1.7,0.36,28.0,14.0,3.0,11.0,
267,2.1,0.45,24.0,19.0,7.0,16.0,
268,2.1,0.5,25.0,11.0,3.0,15.0,
269,2.9,0.47,26.0,14.0,8.0,16.0,
270,2.5,0.49,29.0,14.0,9.0,15.0,
271,2.4,0.52,33.0,27.0,15.0,14.0,
272,2.3,0.5,36.0,30.0,12.0,14.0,
273,2.3,0.52,36.0,38.0,10.0,14.0,
274,2.5,0.56,34.0,44.0,8.0,16.0,
275,2.2,0.58,33.0,47.0,15.0,16.0,
276,2.3,0.59,28.0,59.0,19.0,18.0,
277,2.7,0.63,24.0,56.0,23.0,22.0,
278,3.3,0.59,24.0,55.0,30.0,22.0,
279,3.5,0.56,25.0,50.0,36.0,21.0,
280,3.8,0.5,30.0,51.0,40.0,17.0,
281,3.3,0.47,34.0,60.0,40.0,15.0,
282,2.8,0.45,38.0,57.0,35.0,13.0,
283,2.7,0.42,39.0,47.0,31.0,11.0,
284,2.8,0.41,39.0,38.0,30.0,11.0,
285,3.1,0.4,39.0,35.0,30.0,9.4,
286,2.7,0.35,38.0,48.0,34.0,9.2,
287,2.7,0.31,38.0,45.0,31.0,8.5,
288,2.6,0.28,37.0,41.0,26.0,8.1,
289,2.7,0.26,35.0,32.0,19.0,8.7,
290,2.1,0.23,34.0,32.0,15.0,9.3,
291,2.0,0.26,32.0,31.0,18.0,12.0,
292,2.0,0.26,32.0,31.0,18.0,12.0,
293,3.0,0.33,27.0,28.0,17.0,17.0,
294,3.2,0.32,30.0,34.0,13.0,16.0,
295,2.6,0.31,35.0,35.0,15.0,15.0,
296,2.5,0.33,40.0,39.0,19.0,14.0,
297,2.2,0.36,51.0,32.0,16.0,12.0,
