,SO2,CO,O3,PM10,PM25,NO2,pr
5553,2.4,0.62,61.0,40.0,14.0,7.5,
5554,6.6,0.79,52.0,43.0,19.0,14.5,
5555,3.4,0.79,46.0,38.0,14.0,13.4,
5556,1.1,0.97,35.0,27.0,10.0,18.4,
5557,1.2,1.0,31.0,20.0,5.0,16.6,
5558,1.1,0.97,24.0,22.0,3.0,20.1,
5559,1.1,1.0,23.0,18.0,9.0,18.2,
5560,1.0,1.04,23.0,23.0,9.0,18.6,
5561,1.9,0.87,18.0,24.0,11.0,16.7,
5562,1.2,0.93,13.0,24.0,7.0,17.1,
5563,1.2,0.7,18.0,18.0,5.0,11.4,
5564,1.7,0.69,15.0,29.0,11.0,12.4,
5565,1.3,0.7,14.0,18.0,8.0,9.9,
5566,1.6,0.65,12.0,24.0,5.0,9.3,
5567,1.3,0.73,11.0,21.0,8.0,8.2,
5568,1.5,0.64,9.0,25.0,11.0,8.1,
5569,1.1,0.71,10.0,31.0,4.0,9.7,
5570,1.1,0.77,23.0,26.0,13.0,11.6,
5571,1.5,1.15,16.0,24.0,8.0,13.9,
5572,1.3,0.85,17.0,20.0,3.0,15.6,
5573,1.6,0.81,18.0,23.0,6.0,15.6,
5574,1.5,0.76,25.0,24.0,9.0,13.1,
5575,1.4,0.74,33.0,25.0,8.0,12.8,
5576,1.4,0.79,40.0,19.0,6.0,13.8,
5577,1.2,0.75,53.0,19.0,8.0,13.3,
5578,1.3,0.73,65.0,28.0,12.0,12.7,
5579,1.2,0.77,57.0,23.0,7.0,12.7,
5580,1.2,0.76,55.0,25.0,12.0,12.7,
5581,1.2,0.92,55.0,27.0,13.0,18.3,
5582,1.7,1.09,55.0,25.0,14.0,21.6,
5583,1.2,0.9,35.0,18.0,9.0,14.7,
5584,1.4,1.0,22.0,29.0,12.0,20.8,
5585,1.4,1.16,17.0,30.0,14.0,25.0,
5586,1.7,1.31,8.0,36.0,16.0,29.3,
5587,1.8,1.07,8.0,39.0,14.0,24.7,
5588,1.7,0.79,8.0,38.0,18.0,23.0,
5589,1.6,0.77,12.0,36.0,8.0,20.9,
5590,1.6,0.78,8.0,36.0,13.0,19.9,
5591,1.8,0.78,6.0,33.0,16.0,20.3,
5592,1.8,0.77,4.0,42.0,18.0,21.0,
5593,2.7,0.88,4.0,43.0,8.0,24.9,
5594,3.8,0.9,10.0,45.0,24.0,24.4,
5595,4.3,1.32,15.0,37.0,13.0,24.7,
5596,3.8,1.23,29.0,48.0,17.0,24.4,
5597,3.3,0.97,50.0,51.0,21.0,24.8,
5598,3.2,0.8,61.0,50.0,29.0,17.3,
5599,3.5,0.77,82.0,54.0,23.0,15.9,
5600,3.8,0.8,99.0,58.0,30.0,16.2,
5601,4.3,0.75,113.0,64.0,35.0,18.2,
5602,3.4,0.74,111.0,62.0,24.0,19.4,
5603,3.3,0.72,92.0,54.0,24.0,17.5,
5604,3.2,0.72,82.0,56.0,26.0,19.5,
5605,4.3,1.51,54.0,56.0,29.0,41.3,
5606,7.2,1.73,34.0,67.0,23.0,44.6,
5607,5.3,1.32,42.0,69.0,25.0,34.2,
5608,3.2,1.2,41.0,58.0,27.0,34.9,
5609,2.9,1.12,36.0,57.0,27.0,35.2,
5610,2.5,1.0,41.0,51.0,24.0,26.2,
5611,2.4,0.82,44.0,47.0,24.0,16.5,
5612,2.1,0.68,43.0,41.0,21.0,13.4,
5613,2.2,0.67,48.0,42.0,24.0,11.3,
5614,2.0,0.61,46.0,42.0,19.0,9.8,
5615,1.7,0.6,46.0,46.0,21.0,8.4,
5616,1.5,0.63,36.0,40.0,23.0,8.5,
5617,1.6,0.7,31.0,46.0,26.0,15.4,
5618,1.6,0.78,35.0,43.0,25.0,14.8,
5619,2.2,1.28,38.0,47.0,24.0,24.9,
5620,4.2,1.07,56.0,47.0,31.0,21.8,
5621,4.4,0.84,68.0,48.0,24.0,16.9,
5622,2.9,0.71,80.0,46.0,19.0,13.4,
5623,2.4,0.72,95.0,49.0,24.0,15.0,
5624,2.4,0.83,101.0,52.0,31.0,14.4,
5625,2.0,0.75,94.0,52.0,27.0,15.0,
5626,2.1,0.7,90.0,55.0,30.0,16.2,
5627,1.9,0.72,83.0,56.0,25.0,18.7,
5628,1.6,0.7,75.0,46.0,26.0,16.8,
5629,1.5,0.8,67.0,46.0,26.0,17.5,
5630,1.4,0.89,62.0,42.0,27.0,18.8,
5631,3.3,1.46,36.0,63.0,29.0,46.4,
5632,4.4,1.58,27.0,82.0,35.0,43.7,
5633,6.3,1.79,16.0,85.0,35.0,43.3,
5634,4.5,1.09,27.0,55.0,29.0,27.5,
5635,4.8,1.41,23.0,66.0,27.0,24.9,
