,SO2,CO,O3,PM10,PM25,NO2,pr
547,1.5,0.23,39.0,12.0,7.0,4.3,
548,1.7,0.21,37.0,13.0,5.0,4.9,
549,1.6,0.2,36.0,15.0,7.0,5.1,
550,1.6,0.2,35.0,14.0,6.0,5.7,
551,1.8,0.22,34.0,11.0,8.0,6.7,
552,2.0,0.21,36.0,10.0,8.0,6.5,
553,2.0,0.22,37.0,15.0,6.0,6.4,
554,2.0,0.22,40.0,22.0,10.0,6.6,
555,1.8,0.2,45.0,36.0,11.0,5.4,
556,1.6,0.17,47.0,45.0,8.0,4.6,
557,1.7,0.17,48.0,43.0,9.0,4.1,
558,1.7,0.18,47.0,40.0,12.0,4.3,
559,1.7,0.18,45.0,36.0,12.0,4.6,
560,1.7,0.18,42.0,31.0,6.0,5.5,
561,1.7,0.22,37.0,26.0,6.0,7.2,
562,1.8,0.26,33.0,28.0,11.0,9.9,
563,1.9,0.26,30.0,26.0,10.0,10.0,
564,1.9,0.28,26.0,21.0,7.0,11.0,
565,1.9,0.28,25.0,21.0,8.0,12.0,
566,2.1,0.25,28.0,28.0,14.0,10.0,
567,2.3,0.22,28.0,28.0,13.0,9.7,
568,2.1,0.21,30.0,22.0,4.0,8.5,
569,2.2,0.21,29.0,21.0,4.0,8.3,
570,2.0,0.22,27.0,20.0,3.0,9.2,
571,2.3,0.23,23.0,19.0,4.0,12.0,
572,2.4,0.21,26.0,20.0,7.0,9.9,
573,1.8,0.19,33.0,23.0,5.0,5.8,
574,1.5,0.18,36.0,26.0,4.0,4.7,
575,1.4,0.21,36.0,32.0,4.0,4.9,
576,1.5,0.22,36.0,37.0,8.0,5.0,
577,1.6,0.23,36.0,37.0,10.0,5.6,
578,1.6,0.24,33.0,37.0,10.0,7.2,
579,1.5,0.24,39.0,35.0,13.0,6.3,
580,1.6,0.21,42.0,35.0,11.0,5.3,
581,1.8,0.23,42.0,33.0,9.0,5.9,
582,1.5,0.24,42.0,38.0,8.0,5.4,
583,1.7,0.26,40.0,41.0,10.0,6.1,
584,1.7,0.27,37.0,30.0,10.0,7.2,
585,1.8,0.28,34.0,27.0,7.0,8.0,
586,2.1,0.29,32.0,27.0,10.0,8.8,
587,2.0,0.28,33.0,26.0,12.0,7.9,
588,1.6,0.27,33.0,29.0,11.0,7.3,
589,1.5,0.25,34.0,31.0,13.0,6.4,
590,1.5,0.25,32.0,26.0,10.0,6.9,
591,1.6,0.24,32.0,20.0,5.0,6.4,
592,2.0,0.23,32.0,16.0,4.0,5.8,
593,1.8,0.23,33.0,11.0,2.0,4.9,
594,1.7,0.23,34.0,10.0,2.0,4.7,
595,1.6,0.22,35.0,12.0,3.0,4.6,
596,1.5,0.21,35.0,10.0,3.0,4.5,
597,1.5,0.21,37.0,9.0,3.0,5.0,
598,1.5,0.24,37.0,13.0,3.0,6.0,
599,1.6,0.3,35.0,14.0,3.0,7.9,
600,1.8,0.32,34.0,10.0,4.0,9.0,
601,1.9,0.33,35.0,14.0,4.0,9.2,
602,2.3,0.34,38.0,21.0,4.0,8.8,
603,2.3,0.35,44.0,24.0,7.0,8.5,
604,2.1,0.35,50.0,42.0,16.0,7.6,
605,2.0,0.35,52.0,65.0,22.0,7.3,
606,1.9,0.38,51.0,75.0,23.0,7.8,
607,1.9,0.38,48.0,74.0,28.0,8.7,
608,2.0,0.38,44.0,65.0,25.0,9.5,
609,2.4,0.4,38.0,53.0,21.0,11.0,
610,2.2,0.39,36.0,45.0,22.0,12.0,
611,1.9,0.37,34.0,41.0,19.0,12.0,
612,1.6,0.37,32.0,38.0,17.0,11.0,
613,1.6,0.38,29.0,33.0,18.0,13.0,
614,1.7,0.37,27.0,31.0,23.0,13.0,
615,1.5,0.36,25.0,29.0,23.0,13.0,
616,1.3,0.35,24.0,30.0,17.0,13.0,
617,1.0,0.35,20.0,31.0,17.0,14.0,
618,1.1,0.34,19.0,29.0,20.0,15.0,
619,1.1,0.33,18.0,28.0,20.0,14.0,
620,1.4,0.29,17.0,27.0,18.0,15.0,
621,1.4,0.27,22.0,27.0,15.0,12.0,
622,1.7,0.31,14.0,25.0,12.0,18.0,
623,1.9,0.35,14.0,23.0,13.0,21.0,
624,2.3,0.29,21.0,24.0,11.0,19.0,
625,2.9,0.26,25.0,26.0,8.0,17.0,
626,3.0,0.25,34.0,34.0,12.0,13.0,
627,2.2,0.23,44.0,45.0,19.0,8.6,
628,2.0,0.18,46.0,47.0,15.0,8.1,
629,1.8,0.15,50.0,45.0,6.0,5.4,
630,1.5,0.16,50.0,48.0,7.0,5.7,
631,1.4,0.15,48.0,46.0,12.0,4.9,
632,1.2,0.16,44.0,42.0,13.0,5.3,
633,1.3,0.19,40.0,43.0,13.0,7.8,
634,1.7,0.19,39.0,43.0,15.0,8.3,
635,2.0,0.18,37.0,45.0,13.0,8.4,
636,1.7,0.16,38.0,50.0,8.0,7.0,
637,1.7,0.15,38.0,48.0,7.0,6.6,
638,1.7,0.15,37.0,47.0,7.0,6.4,
639,2.0,0.15,36.0,45.0,8.0,7.1,
640,2.4,0.15,35.0,43.0,5.0,6.3,
641,1.9,0.14,37.0,45.0,4.0,5.6,
642,1.4,0.13,35.0,47.0,7.0,6.0,
643,1.2,0.11,39.0,47.0,4.0,3.9,
644,1.5,0.14,36.0,48.0,4.0,4.8,
645,1.5,0.17,31.0,50.0,4.0,6.6,
646,1.4,0.22,31.0,50.0,5.0,8.2,
647,1.4,0.22,32.0,63.0,7.0,8.8,
648,1.6,0.22,33.0,72.0,14.0,8.6,
649,1.7,0.26,34.0,71.0,18.0,9.7,
650,2.1,0.28,37.0,72.0,19.0,10.0,
651,2.0,0.27,41.0,68.0,23.0,9.2,
652,1.9,0.26,44.0,62.0,22.0,8.4,
653,2.7,0.25,39.0,61.0,23.0,12.0,
654,1.9,0.24,46.0,58.0,20.0,7.8,
655,2.0,0.31,42.0,62.0,18.0,11.0,
656,1.9,0.31,41.0,68.0,26.0,10.0,
657,1.7,0.28,41.0,63.0,26.0,9.3,
658,2.0,0.29,37.0,59.0,22.0,10.0,
659,2.0,0.35,28.0,61.0,22.0,15.0,
660,2.0,0.42,19.0,65.0,27.0,20.0,
661,2.1,0.47,14.0,68.0,30.0,21.0,
662,2.5,0.49,11.0,66.0,31.0,21.0,
663,3.3,0.63,8.4,81.0,44.0,25.0,
664,2.1,0.36,28.0,92.0,48.0,10.0,
665,1.5,0.24,35.0,80.0,35.0,5.7,
666,1.5,0.23,31.0,69.0,28.0,8.5,
667,1.9,0.22,26.0,64.0,27.0,12.0,
668,1.3,0.23,26.0,60.0,28.0,8.2,
669,1.4,0.24,24.0,67.0,29.0,9.2,
670,3.4,0.47,61.0,111.0,46.0,11.0,
671,1.9,0.34,51.0,104.0,38.0,12.0,
672,2.3,0.38,40.0,93.0,39.0,17.0,
673,1.7,0.38,43.0,76.0,36.0,12.0,
674,1.4,0.35,43.0,60.0,31.0,10.0,
675,1.5,0.37,42.0,61.0,31.0,10.0,
676,1.3,0.36,41.0,56.0,33.0,10.0,
677,1.5,0.36,39.0,51.0,30.0,10.0,
678,1.8,0.36,41.0,54.0,30.0,10.0,
679,2.0,0.35,39.0,57.0,35.0,11.0,
680,1.4,0.33,41.0,55.0,32.0,8.9,
681,1.3,0.33,43.0,52.0,30.0,8.2,
682,0.9,0.34,44.0,50.0,33.0,6.2,
683,1.0,0.36,43.0,48.0,33.0,6.3,
684,1.5,0.42,40.0,52.0,35.0,11.0,
685,1.1,0.44,38.0,55.0,38.0,11.0,
686,1.7,0.62,29.0,56.0,39.0,19.0,
687,1.6,0.54,32.0,61.0,41.0,16.0,
688,1.9,0.46,38.0,63.0,39.0,14.0,
689,2.3,0.4,41.0,61.0,36.0,14.0,
690,2.4,0.41,45.0,66.0,29.0,16.0,
691,2.0,0.27,49.0,64.0,21.0,13.0,
692,1.5,0.17,52.0,53.0,15.0,7.4,
693,1.5,0.16,51.0,54.0,12.0,7.8,
694,1.5,0.17,46.0,59.0,11.0,12.0,
695,1.5,0.19,44.0,62.0,13.0,12.0,
696,2.1,0.33,36.0,68.0,19.0,17.0,
697,2.2,0.37,28.0,73.0,22.0,21.0,
698,2.5,0.43,19.0,71.0,23.0,25.0,
699,3.2,0.46,13.0,70.0,24.0,30.0,
700,3.3,0.53,4.8,63.0,21.0,36.0,
701,2.7,0.37,16.0,56.0,22.0,23.0,
702,2.1,0.3,20.0,47.0,17.0,18.0,
703,1.5,0.29,22.0,38.0,15.0,16.0,
704,1.9,0.32,19.0,34.0,16.0,17.0,
705,2.0,0.31,14.0,35.0,13.0,19.0,
