,SO2,O3,PM10,PM25,NO2,pr
5496,5.0,15,33.0,16.0,8.1,
5497,5.1,16,34.0,13.0,9.4,
5498,3.6,17,32.0,12.0,8.2,
5499,3.6,17,32.0,10.0,6.8,
5500,11.3,16,31.0,10.0,18.5,
5501,6.6,16,30.0,11.0,12.7,
5502,6.5,15,27.0,11.0,13.3,
5503,5.6,15,25.0,11.0,11.8,
5504,8.5,13,26.0,11.0,12.4,
5505,4.4,13,22.0,10.0,5.6,
5506,2.9,15,20.0,10.0,2.5,
5507,2.6,19,21.0,11.0,2.7,
5508,3.1,23,21.0,12.0,3.5,
5509,3.1,28,24.0,13.0,5.3,
5510,3.9,31,26.0,15.0,6.9,
5511,3.4,36,30.0,16.0,6.4,
5512,3.4,40,32.0,16.0,6.9,
5513,3.7,44,33.0,17.0,8.7,
5514,3.4,44,34.0,17.0,10.4,
5515,2.7,43,32.0,18.0,12.3,
5516,2.5,42,30.0,18.0,12.5,
5517,3.1,43,28.0,17.0,12.9,
5518,3.1,46,28.0,18.0,11.4,
5519,3.1,49,33.0,18.0,9.9,
5520,3.0,53,40.0,19.0,8.4,
5521,2.7,57,48.0,20.0,7.4,
5522,2.9,61,61.0,21.0,7.3,
5523,2.9,64,66.0,21.0,8.8,
5524,3.2,66,70.0,21.0,12.4,
5525,3.0,66,68.0,20.0,14.9,
5526,3.7,64,60.0,18.0,10.7,
5527,3.9,61,52.0,17.0,9.7,
5528,2.1,57,45.0,16.0,7.6,
5529,2.2,54,40.0,16.0,8.1,
5530,1.9,50,38.0,16.0,9.3,
5531,3.0,47,45.0,17.0,9.1,
5532,2.6,44,46.0,18.0,8.9,
5533,3.0,43,44.0,19.0,7.2,
5534,3.5,42,40.0,19.0,6.8,
5535,3.4,42,26.0,17.0,7.8,
5536,2.1,41,22.0,15.0,6.7,
5537,3.0,41,20.0,15.0,6.9,
5538,2.9,41,20.0,13.0,8.3,
5539,2.6,42,20.0,14.0,9.9,
5540,2.9,43,20.0,14.0,12.2,
5541,2.9,46,21.0,15.0,12.0,
5542,3.9,49,23.0,15.0,10.3,
5543,3.9,54,23.0,15.0,7.7,
5544,1.0,57,23.0,17.0,6.8,
5545,2.5,60,23.0,19.0,7.1,
5546,3.0,62,23.0,20.0,5.8,
5547,2.9,65,23.0,21.0,5.7,
5548,2.9,66,23.0,21.0,7.1,
5549,2.9,65,23.0,20.0,8.2,
5550,3.1,62,23.0,19.0,10.4,
5551,3.2,58,23.0,19.0,11.8,
5552,3.4,53,23.0,18.0,15.0,
5553,3.9,48,23.0,19.0,13.0,
5554,3.6,44,23.0,20.0,12.4,
5555,3.6,40,23.0,22.0,10.9,
5556,3.4,36,23.0,24.0,10.8,
5557,3.6,32,23.0,25.0,10.1,
5558,4.4,30,23.0,25.0,10.4,
5559,3.1,27,23.0,24.0,12.2,
5560,3.1,24,23.0,25.0,10.9,
5561,3.1,24,23.0,24.0,9.2,
5562,3.1,24,23.0,24.0,6.9,
5563,3.5,26,23.0,24.0,6.9,
5564,5.9,30,23.0,23.0,10.3,
5565,4.6,35,23.0,24.0,7.3,
5566,5.5,40,23.0,24.0,9.3,
5567,4.2,46,23.0,26.0,4.8,
5568,3.2,51,23.0,26.0,3.2,
5569,3.1,55,23.0,24.0,3.3,
5570,3.0,58,23.0,22.0,3.5,
5571,3.0,59,23.0,22.0,4.2,
5572,3.0,59,23.0,23.0,4.4,
5573,3.0,56,23.0,24.0,7.7,
