,SO2,O3,PM10,PM25,NO2,pr
151,3.0,32,20.0,18.0,8.6,
152,3.1,32,19.0,17.0,9.9,
153,3.0,32,20.0,16.0,11.2,
154,3.0,32,20.0,16.0,10.8,
155,3.0,32,20.0,17.0,10.1,
156,3.1,32,21.0,16.0,8.1,
157,3.3,33,22.0,16.0,7.2,
158,3.1,35,22.0,16.0,7.9,
159,3.0,37,24.0,15.0,8.1,
160,2.6,39,23.0,15.0,7.8,
161,2.8,40,24.0,16.0,8.3,
162,2.7,41,27.0,16.0,8.7,
163,2.7,41,29.0,17.0,11.5,
164,3.0,42,30.0,17.0,12.2,
165,2.8,41,29.0,17.0,11.3,
166,2.3,40,28.0,17.0,10.8,
167,2.3,38,27.0,17.0,10.3,
168,2.2,37,27.0,19.0,10.3,
169,2.5,37,27.0,19.0,9.8,
170,2.1,37,28.0,19.0,7.8,
171,2.3,37,28.0,19.0,6.8,
172,4.6,38,28.0,19.0,8.1,
173,3.1,39,27.0,18.0,6.9,
174,2.8,40,26.0,19.0,6.4,
175,2.5,40,26.0,20.0,6.2,
176,2.6,41,28.0,21.0,7.1,
177,2.6,42,28.0,21.0,7.8,
178,2.5,42,28.0,22.0,8.4,
179,2.3,42,29.0,23.0,7.9,
180,2.6,42,30.0,23.0,8.2,
181,2.7,43,34.0,24.0,6.8,
182,2.6,44,35.0,25.0,7.3,
183,2.5,45,37.0,25.0,6.7,
184,2.5,46,38.0,26.0,5.9,
185,2.8,48,40.0,27.0,6.2,
186,2.7,50,42.0,27.0,7.4,
187,3.2,51,42.0,27.0,9.2,
188,3.2,52,41.0,27.0,10.9,
189,3.0,53,42.0,28.0,10.8,
190,3.0,54,44.0,29.0,9.6,
191,2.8,54,43.0,28.0,10.3,
192,2.3,54,43.0,29.0,8.7,
193,2.2,54,40.0,28.0,8.1,
194,2.5,54,38.0,28.0,7.1,
195,2.5,53,36.0,27.0,6.9,
196,4.1,53,35.0,25.0,8.9,
197,3.2,53,36.0,24.0,7.7,
198,3.2,52,36.0,25.0,8.4,
199,2.7,51,38.0,25.0,8.1,
200,2.7,50,38.0,26.0,8.8,
201,3.0,50,38.0,26.0,9.1,
202,2.6,49,36.0,26.0,10.2,
203,2.3,49,36.0,27.0,8.3,
204,2.7,50,36.0,28.0,7.2,
205,2.6,52,37.0,31.0,7.6,
206,2.6,54,38.0,32.0,5.9,
207,2.5,56,40.0,33.0,6.4,
208,2.5,59,42.0,34.0,6.3,
209,2.7,61,42.0,33.0,6.9,
210,2.7,64,42.0,33.0,8.6,
211,3.1,65,42.0,33.0,10.4,
212,2.5,66,42.0,34.0,13.2,
213,2.6,65,44.0,35.0,15.3,
214,2.5,64,46.0,37.0,14.8,
215,2.6,62,46.0,38.0,13.9,
216,2.6,60,48.0,39.0,13.8,
217,2.5,59,46.0,38.0,11.5,
218,2.3,58,46.0,37.0,15.3,
219,2.5,56,44.0,37.0,15.0,
220,3.9,55,44.0,37.0,13.5,
221,3.1,55,44.0,38.0,16.5,
222,2.1,54,44.0,39.0,16.4,
223,2.1,54,44.0,39.0,12.8,
224,2.1,54,45.0,40.0,14.7,
225,3.1,52,47.0,41.0,20.5,
226,3.3,51,48.0,42.0,15.0,
227,3.7,50,50.0,42.0,15.5,
228,3.2,50,50.0,41.0,12.4,
229,2.8,52,52.0,42.0,10.4,
230,3.0,54,56.0,44.0,9.9,
231,3.2,56,60.0,47.0,9.6,
232,2.6,58,64.0,50.0,8.9,
233,2.5,60,64.0,51.0,8.9,
234,3.2,63,64.0,49.0,11.8,
235,3.1,65,64.0,49.0,15.9,
236,3.1,65,64.0,49.0,15.9,
237,3.1,0,64.0,49.0,15.9,
238,3.1,0,64.0,49.0,15.9,
239,3.1,0,64.0,49.0,15.9,
240,2.8,52,64.0,47.0,17.2,
241,3.0,49,62.0,46.0,16.5,
242,2.6,46,60.0,44.0,13.3,
243,2.1,42,56.0,42.0,17.0,
244,5.3,41,54.0,40.0,19.8,
245,3.8,40,53.0,40.0,17.4,
