,SO2,CO,O3,PM10,PM25,NO2,pr
1270,2.0,0.66,10.0,66.0,24.0,15.0,
1271,1.9,0.66,22.0,63.0,26.0,15.0,
1272,1.8,0.6,43.0,77.0,27.0,13.0,
1273,2.1,0.52,69.0,67.0,27.0,9.3,
1274,2.3,0.51,62.0,62.0,31.0,12.0,
1275,2.7,0.55,77.0,79.0,38.0,12.0,
1276,2.4,0.44,76.0,88.0,42.0,10.0,
1277,1.7,0.35,68.0,89.0,41.0,9.6,
1278,1.7,0.38,63.0,101.0,34.0,10.0,
1279,4.5,0.38,47.0,104.0,36.0,20.0,
1280,2.4,0.48,45.0,117.0,44.0,20.0,
1281,1.3,0.41,47.0,130.0,50.0,13.0,
1282,1.1,0.5,43.0,116.0,48.0,13.0,
1283,2.3,0.74,29.0,140.0,45.0,23.0,
1284,2.1,0.82,18.0,145.0,48.0,29.0,
1285,2.6,0.7,42.0,46.0,21.0,15.0,
1286,8.2,3.68,51.0,48.0,25.0,14.0,
1287,3.4,1.44,58.0,40.0,18.0,11.0,
1288,4.6,0.54,65.0,44.0,26.0,11.0,
1289,7.8,0.45,48.0,56.0,21.0,19.0,
1290,4.7,0.35,61.0,49.0,26.0,9.4,
1291,7.2,1.16,59.0,58.0,25.0,14.0,
1292,5.2,0.42,54.0,73.0,31.0,17.0,
1293,3.5,0.32,55.0,73.0,37.0,13.0,
1294,3.4,0.41,41.0,66.0,32.0,17.0,
1295,3.6,0.38,32.0,72.0,31.0,17.0,
1296,3.4,0.43,24.0,80.0,32.0,21.0,
1297,3.9,0.47,8.3,72.0,39.0,32.0,
1298,3.9,0.47,8.3,72.0,39.0,32.0,
1299,4.0,0.4,8.9,47.0,45.0,27.0,
1300,3.0,0.29,17.0,7.0,45.0,17.0,
1301,1.9,0.27,23.0,24.0,24.0,9.7,
1302,1.9,0.25,28.0,13.0,13.0,7.5,
1303,1.8,0.22,34.0,10.0,10.0,6.0,
1304,1.8,0.2,41.0,10.0,4.0,5.5,
1305,2.0,0.22,44.0,8.0,4.0,5.0,
1306,1.9,0.28,45.0,8.0,4.0,5.0,
1307,1.8,0.28,47.0,10.0,4.0,4.9,
1308,1.8,0.31,43.0,15.0,4.0,6.1,
1309,1.7,0.33,41.0,10.0,2.0,6.6,
1310,1.9,0.32,37.0,10.0,4.0,9.0,
1311,2.0,0.29,40.0,8.0,4.0,7.8,
1312,2.1,0.31,31.0,10.0,4.0,13.0,
1313,2.0,0.29,35.0,6.0,4.0,10.0,
1314,2.0,0.3,36.0,6.0,4.0,11.0,
1315,2.1,0.27,38.0,16.0,4.0,11.0,
1316,2.0,0.28,41.0,22.0,5.0,9.3,
1317,2.2,0.28,42.0,24.0,8.0,8.5,
1318,2.2,0.27,41.0,21.0,8.0,7.8,
1319,2.0,0.3,38.0,32.0,11.0,9.3,
1320,1.9,0.27,39.0,31.0,15.0,7.2,
1321,1.9,0.28,38.0,33.0,15.0,7.6,
1322,2.1,0.26,39.0,34.0,16.0,7.6,
1323,2.0,0.24,39.0,28.0,16.0,6.3,
1324,2.0,0.22,40.0,24.0,11.0,6.1,
1325,2.0,0.21,39.0,27.0,11.0,5.7,
1326,1.0,0.21,37.0,25.0,7.0,5.5,
1327,0.9,0.21,38.0,22.0,7.0,5.2,
1328,1.0,0.21,36.0,22.0,4.0,5.2,
1329,0.8,0.16,40.0,21.0,13.0,5.4,
1330,0.9,0.16,41.0,25.0,14.0,5.6,
1331,0.8,0.17,39.0,29.0,18.0,5.9,
1332,0.7,0.21,37.0,20.0,8.0,6.6,
1333,1.0,0.25,33.0,23.0,7.0,9.9,
1334,1.0,0.26,29.0,31.0,5.0,14.0,
1335,1.1,0.24,32.0,29.0,12.0,11.0,
1336,1.4,0.27,30.0,30.0,12.0,14.0,
1337,1.4,0.24,37.0,28.0,12.0,9.3,
1338,2.0,0.26,34.0,32.0,13.0,12.0,
1339,1.9,0.24,37.0,30.0,17.0,11.0,
1340,1.8,0.26,38.0,38.0,21.0,10.0,
1341,1.4,0.27,38.0,38.0,16.0,9.9,
1342,1.3,0.28,37.0,39.0,19.0,9.5,
1343,1.3,0.35,30.0,49.0,18.0,14.0,
1344,1.4,0.29,31.0,42.0,20.0,11.0,
1345,1.1,0.33,28.0,43.0,12.0,11.0,
1346,1.4,0.4,17.0,44.0,12.0,15.0,
1347,1.2,0.47,9.5,47.0,13.0,19.0,
1348,2.0,0.52,8.4,51.0,13.0,22.0,
1349,1.8,0.59,2.5,52.0,11.0,28.0,
1350,4.6,0.52,1.7,53.0,15.0,31.0,
1351,3.8,0.6,1.9,57.0,18.0,28.0,
