,SO2,CO,O3,PM10,PM25,NO2,pr
117,1.8,0.43,35.0,28.0,11.0,12.6,
118,1.7,0.41,33.0,28.0,11.0,12.3,
119,1.7,0.4,31.0,28.0,12.0,11.1,
120,1.6,0.39,29.0,28.0,11.0,9.5,
121,1.6,0.38,29.0,28.0,12.0,8.5,
122,1.5,0.37,28.0,28.0,12.0,8.2,
123,1.6,0.36,27.0,29.0,11.0,10.1,
124,1.6,0.34,27.0,29.0,11.0,11.2,
125,1.8,0.32,28.0,28.0,11.0,10.5,
126,1.9,0.3,28.0,28.0,11.0,8.9,
127,1.5,0.27,29.0,28.0,12.0,5.7,
128,1.4,0.24,30.0,27.0,11.0,5.7,
129,1.3,0.22,30.0,28.0,10.0,6.0,
130,1.6,0.21,31.0,28.0,11.0,7.7,
131,1.6,0.19,31.0,30.0,11.0,8.5,
132,1.6,0.2,32.0,30.0,11.0,7.8,
133,1.6,0.22,33.0,30.0,11.0,9.3,
134,1.7,0.24,34.0,30.0,11.0,8.2,
135,2.0,0.27,36.0,30.0,12.0,7.7,
136,1.8,0.3,37.0,30.0,12.0,8.5,
137,1.7,0.32,38.0,30.0,12.0,9.0,
138,1.5,0.34,38.0,30.0,12.0,8.4,
139,1.6,0.34,38.0,30.0,12.0,9.1,
140,1.6,0.35,38.0,29.0,11.0,12.5,
141,1.5,0.35,37.0,28.0,11.0,11.8,
142,1.5,0.34,35.0,26.0,10.0,10.6,
143,1.4,0.32,33.0,24.0,8.0,8.8,
144,1.2,0.31,31.0,22.0,8.0,10.2,
145,1.5,0.3,30.0,22.0,8.0,8.2,
146,1.6,0.29,29.0,21.0,8.0,6.7,
147,1.2,0.28,28.0,20.0,8.0,5.8,
148,1.2,0.27,29.0,19.0,8.0,6.6,
149,1.5,0.27,29.0,18.0,7.0,8.8,
150,1.6,0.26,29.0,17.0,7.0,9.3,
151,1.4,0.26,30.0,18.0,6.0,6.4,
152,1.4,0.25,31.0,18.0,6.0,6.4,
153,1.7,0.26,31.0,18.0,5.0,8.9,
154,1.7,0.29,32.0,18.0,5.0,9.2,
155,1.6,0.32,32.0,18.0,5.0,8.3,
156,1.8,0.34,33.0,18.0,6.0,8.1,
157,2.0,0.37,35.0,19.0,6.0,9.0,
158,1.8,0.39,37.0,20.0,7.0,8.8,
159,1.7,0.42,39.0,22.0,7.0,7.6,
160,1.6,0.45,41.0,24.0,7.0,8.6,
161,1.5,0.48,42.0,26.0,7.0,9.1,
162,1.5,0.48,43.0,30.0,8.0,8.0,
163,1.3,0.47,44.0,31.0,9.0,9.0,
164,1.4,0.47,43.0,32.0,9.0,10.2,
165,1.3,0.46,43.0,32.0,9.0,9.8,
166,1.3,0.44,42.0,29.0,8.0,8.5,
167,1.2,0.42,41.0,28.0,9.0,7.1,
168,1.1,0.4,40.0,28.0,9.0,7.1,
169,1.2,0.38,39.0,28.0,9.0,6.9,
170,1.2,0.36,39.0,28.0,9.0,5.7,
171,1.1,0.34,40.0,30.0,10.0,4.4,
172,1.1,0.32,41.0,28.0,10.0,6.4,
173,1.2,0.31,41.0,28.0,10.0,6.6,
174,1.3,0.29,42.0,27.0,10.0,6.2,
175,1.1,0.28,42.0,27.0,10.0,5.7,
176,1.1,0.26,43.0,28.0,10.0,5.7,
177,1.2,0.26,44.0,29.0,11.0,6.0,
178,1.3,0.25,44.0,30.0,11.0,5.6,
179,1.3,0.26,44.0,31.0,11.0,6.4,
180,1.5,0.27,44.0,32.0,12.0,7.7,
181,1.5,0.28,45.0,34.0,13.0,7.9,
182,1.5,0.3,45.0,38.0,14.0,9.0,
183,1.5,0.32,46.0,40.0,14.0,8.0,
184,1.4,0.34,48.0,42.0,15.0,6.6,
185,1.5,0.35,50.0,44.0,15.0,6.9,
186,1.4,0.36,51.0,48.0,16.0,7.3,
187,1.4,0.38,53.0,50.0,17.0,9.2,
188,1.5,0.38,54.0,51.0,18.0,11.0,
189,1.5,0.38,55.0,52.0,18.0,10.2,
190,1.6,0.38,55.0,52.0,19.0,9.6,
191,1.4,0.37,56.0,52.0,19.0,9.9,
192,1.3,0.37,56.0,52.0,19.0,6.7,
