,SO2,CO,O3,PM10,PM25,NO2,NO,pr
4676,2.6,0.23,13.0,36.0,20.0,26.0,3.4,
4677,2.1,0.53,17.0,36.0,18.0,19.0,3.3,
4678,2.5,0.53,12.0,27.0,7.0,17.0,3.8,
4679,2.0,0.62,13.0,20.0,12.0,14.0,2.6,
4680,1.7,0.86,13.0,25.0,14.0,13.0,2.8,
4681,2.1,0.46,12.0,19.0,14.0,12.0,2.4,
4682,1.4,0.33,11.0,19.0,13.0,11.0,2.2,
4683,1.8,0.35,9.7,17.0,10.0,10.0,1.1,
4684,1.3,0.24,6.2,17.0,5.0,9.7,1.6,
4685,1.2,0.18,6.9,20.0,5.0,8.0,1.4,
4686,1.4,0.24,7.3,22.0,5.0,7.0,0.8,
4687,1.1,0.19,5.5,33.0,2.0,8.1,1.1,
4688,1.2,0.29,3.3,32.0,5.0,9.2,3.8,
4689,1.5,0.43,4.0,29.0,5.0,10.0,7.6,
4690,3.1,0.52,7.2,29.0,5.0,12.0,8.9,
4691,4.4,0.66,14.0,32.0,12.0,18.0,11.0,
4692,3.7,0.61,32.0,37.0,22.0,20.0,4.7,
4693,3.7,0.61,32.0,42.0,32.0,20.0,4.7,
4694,3.8,0.38,39.0,41.0,27.0,20.0,4.7,
4695,6.2,0.45,35.0,44.0,23.0,16.0,2.8,
4696,1.9,0.31,37.0,41.0,14.0,11.0,2.4,
4697,1.7,0.37,36.0,40.0,12.0,12.0,1.9,
4698,1.7,0.29,41.0,31.0,18.0,11.0,1.9,
4699,1.7,0.3,40.0,30.0,14.0,12.0,1.9,
4700,2.0,0.46,30.0,26.0,19.0,16.0,1.4,
4701,2.2,0.54,28.0,35.0,14.0,19.0,1.4,
4702,2.2,1.18,18.0,38.0,23.0,25.0,1.6,
4703,2.5,1.19,13.0,47.0,20.0,27.0,2.6,
4704,3.7,0.98,5.7,48.0,23.0,28.0,4.5,
4705,4.5,0.89,3.6,60.0,32.0,25.0,3.8,
4706,2.7,0.85,6.5,57.0,36.0,22.0,2.5,
4707,1.9,0.76,0.8,66.0,32.0,25.0,4.6,
4708,2.2,0.51,3.3,63.0,32.0,14.0,3.0,
4709,1.8,0.37,6.6,59.0,29.0,9.3,1.9,
4710,1.8,0.37,4.0,52.0,32.0,10.0,2.8,
4711,1.8,0.31,6.0,52.0,16.0,9.4,2.0,
4712,2.3,0.41,3.9,58.0,19.0,11.0,3.1,
