,SO2,CO,PM10,PM25,NO2,pr
138,2.3,0.31,36.0,10.0,6.9,
139,2.6,0.32,36.0,9.0,10.7,
140,2.2,0.34,36.0,9.0,11.8,
141,2.3,0.35,36.0,8.0,11.1,
142,2.2,0.36,34.0,9.0,9.4,
143,2.3,0.37,32.0,9.0,9.2,
144,2.2,0.38,32.0,9.0,7.9,
145,2.2,0.38,32.0,9.0,7.9,
146,2.2,0.38,28.0,9.0,6.4,
147,2.2,0.38,28.0,9.0,6.4,
148,2.1,0.35,24.0,8.0,5.6,
149,2.3,0.35,23.0,6.0,5.1,
150,2.1,0.35,23.0,6.0,4.8,
151,2.2,0.32,23.0,5.0,5.2,
152,2.2,0.32,23.0,5.0,5.2,
153,2.4,0.35,24.0,7.0,6.5,
154,2.6,0.36,24.0,7.0,8.0,
155,2.8,0.38,24.0,8.0,8.1,
156,2.8,0.39,24.0,7.0,8.1,
157,2.5,0.39,24.0,6.0,8.1,
158,2.3,0.39,27.0,5.0,8.1,
159,2.3,0.4,33.0,5.0,6.4,
160,2.1,0.4,37.0,6.0,5.5,
161,2.1,0.4,37.0,6.0,5.5,
162,2.4,0.4,43.0,8.0,6.9,
163,2.4,0.4,43.0,9.0,8.6,
164,2.3,0.4,43.0,9.0,10.6,
165,2.1,0.4,40.0,8.0,9.6,
166,2.3,0.4,40.0,8.0,9.4,
167,2.1,0.41,38.0,8.0,8.2,
168,2.0,0.41,37.0,8.0,7.6,
169,2.1,0.41,36.0,9.0,7.1,
170,2.2,0.41,36.0,9.0,5.4,
171,2.9,0.39,36.0,9.0,5.5,
172,2.8,0.36,36.0,12.0,5.5,
173,2.8,0.34,36.0,12.0,5.4,
174,3.0,0.31,36.0,12.0,5.2,
175,3.1,0.28,35.0,12.0,6.5,
176,2.8,0.25,35.0,10.0,6.0,
177,3.2,0.23,36.0,11.0,7.3,
178,4.2,0.2,34.0,11.0,6.9,
179,3.4,0.2,36.0,13.0,6.6,
180,3.3,0.2,39.0,13.0,7.2,
181,3.4,0.2,42.0,13.0,6.1,
182,3.1,0.2,47.0,14.0,5.4,
183,2.8,0.21,53.0,16.0,4.4,
184,2.7,0.21,58.0,17.0,4.0,
185,2.9,0.21,62.0,18.0,4.5,
186,3.0,0.21,64.0,24.0,5.3,
187,3.1,0.21,64.0,23.0,6.4,
188,3.0,0.21,66.0,23.0,6.9,
189,3.0,0.23,66.0,22.0,7.6,
190,2.9,0.23,67.0,18.0,8.1,
191,3.1,0.24,66.0,17.0,8.6,
192,3.0,0.24,63.0,19.0,7.6,
193,3.1,0.24,60.0,19.0,6.2,
194,3.0,0.24,57.0,18.0,5.7,
195,3.4,0.24,54.0,17.0,7.9,
196,3.2,0.25,52.0,15.0,10.6,
197,3.3,0.25,50.0,15.0,8.6,
198,3.0,0.26,48.0,13.0,7.9,
199,3.2,0.25,48.0,14.0,5.9,
200,3.0,0.26,46.0,14.0,5.5,
201,2.9,0.28,46.0,14.0,6.5,
202,3.1,0.3,45.0,14.0,5.7,
203,3.2,0.32,45.0,15.0,6.5,
204,3.1,0.35,46.0,15.0,7.6,
205,3.1,0.37,47.0,16.0,7.1,
206,2.7,0.4,49.0,17.0,7.1,
207,2.7,0.44,51.0,17.0,6.9,
208,2.8,0.46,53.0,18.0,7.1,
209,3.1,0.49,54.0,19.0,7.0,
210,3.1,0.5,54.0,20.0,7.1,
211,3.1,0.51,55.0,21.0,9.0,
212,3.1,0.51,55.0,21.0,10.2,
213,3.4,0.51,56.0,22.0,12.4,
214,3.3,0.51,57.0,23.0,11.2,
215,3.8,0.51,56.0,24.0,12.0,
216,3.3,0.51,55.0,25.0,9.0,
217,3.3,0.5,54.0,25.0,7.7,
218,3.3,0.49,54.0,25.0,5.3,
219,3.1,0.46,54.0,25.0,4.8,
220,3.0,0.44,53.0,24.0,5.4,
221,3.4,0.42,52.0,24.0,4.7,
222,3.5,0.41,53.0,23.0,5.1,
223,3.2,0.39,54.0,24.0,5.9,
224,3.4,0.38,56.0,27.0,6.9,
225,3.6,0.38,58.0,28.0,7.6,
226,3.8,0.39,60.0,29.0,9.0,
227,3.9,0.41,62.0,30.0,8.6,
228,3.9,0.45,65.0,31.0,9.1,
229,4.2,0.48,70.0,32.0,10.3,
230,4.3,0.5,71.0,33.0,10.7,
231,4.0,0.54,74.0,33.0,9.9,
232,3.5,0.56,78.0,33.0,9.1,
233,3.4,0.56,75.0,36.0,9.7,
234,3.6,0.56,76.0,35.0,10.6,
235,3.6,0.56,76.0,35.0,10.9,
236,3.5,0.56,76.0,32.0,15.5,
237,3.6,0.56,75.0,31.0,15.8,
238,4.7,0.56,74.0,31.0,15.4,
239,4.7,0.56,74.0,31.0,15.4,
240,4.4,0.57,73.0,30.0,12.7,
241,4.6,0.57,71.0,29.0,12.8,
242,4.1,0.56,67.0,29.0,7.5,
243,4.3,0.55,65.0,28.0,7.4,
244,3.8,0.52,62.0,26.0,7.4,
245,4.1,0.5,62.0,25.0,7.5,
246,3.2,0.47,60.0,25.0,6.5,
247,3.4,0.44,60.0,25.0,6.5,
248,3.0,0.41,60.0,25.0,7.7,
249,3.1,0.4,58.0,25.0,9.4,
250,2.8,0.4,58.0,24.0,11.6,
251,3.1,0.4,57.0,23.0,9.3,
252,3.5,0.4,56.0,22.0,10.4,
253,3.4,0.4,56.0,21.0,10.0,
254,3.0,0.4,58.0,20.0,10.1,
255,2.8,0.41,59.0,20.0,8.9,
256,2.7,0.41,60.0,21.0,8.2,
257,2.6,0.4,62.0,21.0,7.4,
258,2.7,0.4,62.0,21.0,8.9,
259,3.0,0.4,64.0,22.0,11.2,
260,3.4,0.4,63.0,21.0,14.5,
261,4.1,0.4,62.0,20.0,12.7,
262,4.0,0.4,60.0,19.0,12.1,
263,4.4,0.4,56.0,17.0,11.1,
264,4.2,0.4,55.0,17.0,10.7,
265,4.7,0.4,53.0,17.0,9.1,
266,4.4,0.39,51.0,17.0,8.5,
267,3.9,0.39,50.0,17.0,9.0,
268,3.5,0.39,48.0,16.0,9.0,
269,3.7,0.39,45.0,15.0,9.7,
270,3.4,0.39,44.0,15.0,9.6,
271,3.3,0.38,42.0,15.0,8.3,
272,3.4,0.38,41.0,15.0,9.8,
273,4.5,0.39,40.0,15.0,13.3,
274,6.2,0.41,41.0,14.0,15.7,
275,4.5,0.41,42.0,14.0,10.0,
276,4.0,0.41,42.0,13.0,7.4,
