,SO2,O3,PM10,PM25,NO2,pr
151,2.5,28,24.0,7.0,9.6,
152,2.8,28,23.0,7.0,9.6,
153,2.1,29,24.0,6.0,10.5,
154,2.2,29,24.0,6.0,12.1,
155,2.1,30,26.0,7.0,14.4,
156,3.3,30,26.0,8.0,13.9,
157,3.0,30,25.0,9.0,12.5,
158,3.1,30,26.0,8.0,12.2,
159,2.6,32,28.0,10.0,11.2,
160,2.6,33,32.0,9.0,11.5,
161,2.5,35,36.0,9.0,10.4,
162,2.6,37,40.0,9.0,9.4,
163,2.3,38,42.0,9.0,10.0,
164,2.1,40,43.0,9.0,12.3,
165,2.5,40,44.0,10.0,16.1,
166,2.6,40,44.0,11.0,18.4,
167,2.3,38,44.0,11.0,18.2,
168,2.0,37,42.0,13.0,17.0,
169,2.3,36,43.0,13.0,14.4,
170,2.3,35,44.0,14.0,12.3,
171,2.6,34,43.0,13.0,11.1,
172,2.3,35,42.0,14.0,8.3,
173,2.1,36,42.0,13.0,6.7,
174,2.8,37,38.0,12.0,10.0,
175,2.1,38,37.0,14.0,10.6,
176,2.0,40,36.0,15.0,9.5,
177,2.7,41,36.0,15.0,7.1,
178,2.6,42,38.0,17.0,7.4,
179,2.5,42,38.0,15.0,9.0,
180,2.6,42,38.0,15.0,9.9,
181,2.3,42,39.0,16.0,9.2,
182,2.1,43,42.0,16.0,8.5,
183,2.2,43,48.0,17.0,8.2,
184,2.5,44,52.0,17.0,6.8,
185,2.2,46,56.0,18.0,6.8,
186,2.2,48,58.0,19.0,7.0,
187,2.3,50,58.0,18.0,7.1,
188,2.7,52,62.0,17.0,9.5,
189,3.1,54,64.0,18.0,10.5,
190,2.6,55,66.0,22.0,10.9,
191,2.0,56,65.0,24.0,10.7,
192,2.2,57,64.0,25.0,10.4,
193,2.6,57,63.0,23.0,10.0,
194,2.1,57,60.0,19.0,7.9,
195,1.8,57,57.0,18.0,7.4,
196,1.7,56,54.0,17.0,6.0,
197,1.8,56,48.0,20.0,5.9,
198,2.1,55,45.0,20.0,7.0,
199,2.2,55,43.0,20.0,7.0,
200,1.8,54,42.0,22.0,5.5,
201,2.1,54,42.0,20.0,6.0,
202,1.7,53,41.0,22.0,5.1,
203,1.7,53,40.0,23.0,7.0,
204,1.7,52,42.0,27.0,7.0,
205,1.7,52,41.0,30.0,7.4,
206,2.1,53,42.0,30.0,8.8,
207,2.1,55,44.0,26.0,9.2,
208,1.8,56,45.0,24.0,9.9,
209,1.8,58,48.0,25.0,9.3,
210,2.0,59,50.0,25.0,9.8,
211,2.0,62,52.0,26.0,9.9,
212,2.1,64,53.0,28.0,10.6,
213,2.1,65,53.0,33.0,12.6,
214,2.2,65,54.0,33.0,15.3,
215,2.2,64,56.0,37.0,14.8,
216,2.5,63,56.0,37.0,13.6,
217,2.5,62,56.0,37.0,12.0,
218,2.1,62,54.0,37.0,9.3,
219,1.8,61,52.0,37.0,7.9,
220,2.0,61,50.0,20.0,6.2,
221,2.1,61,50.0,19.0,5.9,
222,2.2,62,48.0,18.0,4.9,
223,2.2,63,48.0,17.0,5.4,
224,2.2,64,47.0,16.0,5.1,
225,2.3,64,48.0,13.0,5.7,
226,2.1,64,51.0,13.0,6.6,
227,2.7,63,53.0,13.0,10.1,
228,4.7,60,55.0,13.0,22.6,
229,3.5,58,58.0,13.0,12.9,
230,3.1,57,60.0,11.0,12.7,
231,2.6,57,66.0,10.0,14.3,
232,2.7,58,72.0,9.0,9.9,
233,3.2,60,76.0,9.0,13.1,
234,2.8,61,80.0,9.0,13.2,
235,2.8,62,79.0,9.0,13.6,
236,3.0,65,80.0,28.0,14.3,
237,3.7,66,82.0,30.0,19.2,
238,3.7,66,82.0,30.0,19.2,
239,3.7,0,82.0,30.0,19.2,
240,3.7,0,82.0,30.0,19.2,
