,SO2,CO,PM10,PM25,NO2,pr
138,2.1,0.1,47.0,8.0,9.0,
139,1.9,0.09,48.0,8.0,12.0,
140,2.0,0.11,52.0,8.0,14.9,
141,1.9,0.12,52.0,7.0,13.6,
142,1.7,0.14,50.0,6.0,11.5,
143,1.6,0.15,46.0,6.0,8.7,
144,1.4,0.16,40.0,6.0,8.9,
145,1.4,0.16,40.0,6.0,8.9,
146,1.4,0.16,34.0,6.0,5.4,
147,1.4,0.15,32.0,5.0,2.9,
148,1.5,0.14,28.0,4.0,2.8,
149,1.6,0.12,24.0,3.0,3.0,
150,1.7,0.1,21.0,2.0,2.1,
151,1.6,0.09,19.0,1.0,2.2,
152,1.5,0.08,19.0,1.0,3.3,
153,1.7,0.07,20.0,1.0,6.2,
154,1.8,0.08,20.0,1.0,10.5,
155,1.7,0.09,22.0,3.0,8.8,
156,1.9,0.09,23.0,3.0,7.1,
157,2.0,0.09,26.0,3.0,7.8,
158,1.9,0.09,28.0,3.0,6.4,
159,1.6,0.09,34.0,2.0,4.6,
160,1.4,0.1,38.0,2.0,6.1,
161,1.5,0.1,45.0,4.0,8.1,
162,1.4,0.09,52.0,4.0,8.8,
163,1.5,0.08,58.0,5.0,10.1,
164,1.4,0.09,61.0,6.0,11.4,
165,1.6,0.1,60.0,6.0,10.5,
166,1.3,0.11,56.0,6.0,8.2,
167,1.1,0.11,52.0,6.0,6.0,
168,1.1,0.11,48.0,5.0,5.7,
169,1.1,0.11,44.0,5.0,5.2,
170,1.2,0.11,44.0,5.0,4.2,
171,1.2,0.11,44.0,5.0,3.5,
172,1.1,0.1,42.0,5.0,2.3,
173,1.4,0.09,40.0,4.0,2.2,
174,1.2,0.08,38.0,4.0,1.5,
175,1.2,0.07,36.0,4.0,1.4,
176,1.0,0.07,34.0,4.0,2.2,
177,1.0,0.06,33.0,4.0,2.9,
178,1.1,0.06,31.0,5.0,7.2,
179,1.4,0.06,31.0,6.0,12.5,
180,1.4,0.07,34.0,7.0,12.4,
181,1.5,0.07,43.0,9.0,10.9,
182,1.4,0.07,54.0,11.0,7.5,
183,1.4,0.07,64.0,12.0,4.4,
184,1.3,0.07,74.0,12.0,4.0,
185,1.2,0.08,76.0,12.0,5.2,
186,1.4,0.08,77.0,12.0,6.3,
187,1.4,0.07,76.0,13.0,6.8,
188,1.5,0.08,76.0,14.0,9.1,
189,1.4,0.08,77.0,15.0,7.5,
190,1.3,0.08,76.0,16.0,6.0,
191,1.4,0.08,74.0,16.0,5.2,
192,1.1,0.08,72.0,15.0,4.3,
193,1.7,0.08,68.0,14.0,2.7,
194,1.6,0.08,65.0,13.0,2.6,
195,1.2,0.08,61.0,13.0,1.7,
196,1.0,0.08,55.0,11.0,2.1,
197,1.0,0.07,52.0,11.0,3.4,
198,1.2,0.07,50.0,11.0,2.0,
199,1.2,0.07,50.0,10.0,2.5,
200,1.1,0.07,49.0,11.0,3.6,
201,1.3,0.07,49.0,11.0,4.6,
202,1.4,0.08,49.0,11.0,6.1,
203,1.2,0.09,49.0,11.0,5.8,
204,1.5,0.1,50.0,11.0,5.1,
205,1.4,0.11,50.0,12.0,5.8,
206,1.5,0.13,53.0,13.0,5.8,
207,1.4,0.14,56.0,15.0,5.8,
208,1.1,0.15,60.0,16.0,5.7,
209,1.3,0.16,60.0,16.0,6.4,
210,1.2,0.17,60.0,16.0,7.5,
211,1.6,0.17,59.0,17.0,10.4,
212,1.7,0.19,60.0,18.0,13.1,
213,1.7,0.2,62.0,19.0,12.0,
214,1.8,0.2,64.0,20.0,11.0,
215,1.9,0.2,67.0,22.0,10.7,
216,1.9,0.21,67.0,24.0,10.9,
217,2.0,0.22,67.0,25.0,9.6,
218,1.8,0.22,64.0,25.0,8.3,
219,1.5,0.22,62.0,24.0,6.9,
220,1.0,0.21,58.0,23.0,5.2,
221,1.3,0.2,56.0,22.0,7.4,
222,1.4,0.2,54.0,22.0,10.3,
223,1.1,0.2,54.0,24.0,9.3,
224,1.2,0.2,54.0,24.0,13.8,
225,1.2,0.21,55.0,24.0,17.6,
226,1.5,0.25,55.0,26.0,18.4,
