,SO2,CO,O3,PM10,PM25,NO2,NO,pr
5723,1.2,0.27,76.0,66.0,20.0,7.3,2.1,
5724,1.3,0.28,76.0,66.0,22.0,7.8,2.0,
5725,1.4,0.27,53.0,60.0,20.0,9.6,2.2,
5726,1.2,0.34,38.0,55.0,17.0,14.0,2.0,
5727,1.2,0.37,30.0,43.0,16.0,18.0,1.9,
5728,1.6,0.46,22.0,48.0,19.0,20.0,1.9,
5729,2.1,0.53,13.0,51.0,20.0,27.0,4.7,
5730,1.8,0.43,15.0,48.0,17.0,20.0,4.0,
5731,1.6,0.49,13.0,39.0,18.0,20.0,3.2,
5732,1.3,0.55,6.8,40.0,23.0,24.0,2.2,
5733,1.7,0.61,3.2,48.0,30.0,27.0,8.9,
5734,3.4,0.66,7.7,67.0,31.0,28.0,3.3,
5735,4.1,0.52,26.0,71.0,32.0,18.0,2.2,
5736,3.7,0.52,21.0,78.0,34.0,18.0,3.0,
5737,2.3,0.3,17.0,65.0,30.0,13.0,2.3,
5738,2.5,0.31,14.0,45.0,20.0,15.0,2.3,
5739,2.6,0.44,9.1,33.0,12.0,25.0,10.0,
5740,2.5,0.48,21.0,38.0,18.0,16.0,4.6,
5741,4.1,0.46,46.0,61.0,26.0,14.0,4.6,
5742,4.7,0.4,77.0,65.0,35.0,11.0,3.2,
5743,3.7,0.36,89.0,71.0,32.0,9.0,2.6,
5744,2.6,0.32,88.0,62.0,38.0,9.2,2.7,
5745,1.5,0.22,73.0,55.0,30.0,7.0,2.7,
5746,1.7,0.2,69.0,40.0,22.0,5.9,2.5,
5747,1.7,0.18,58.0,41.0,12.0,7.1,2.6,
5748,1.8,0.2,47.0,44.0,16.0,8.7,2.7,
5749,3.1,0.32,57.0,70.0,20.0,11.0,2.7,
5750,5.7,0.5,59.0,91.0,31.0,12.0,2.3,
5751,5.4,0.53,58.0,115.0,35.0,13.0,2.3,
5752,5.2,0.57,61.0,120.0,46.0,14.0,2.4,
5753,4.1,0.61,49.0,117.0,45.0,15.0,2.3,
5754,4.2,0.61,55.0,115.0,55.0,15.0,2.4,
5755,3.5,0.51,56.0,107.0,54.0,15.0,2.4,
