,SO2,PM10,PM25,NO2,pr
734,4.0,31.0,11.0,7.6,
735,4.0,32.0,12.0,8.4,
736,3.9,34.0,13.0,8.6,
737,3.9,34.0,15.0,8.6,
738,3.9,36.0,15.0,11.9,
739,4.1,38.0,15.0,19.9,
740,4.5,40.0,17.0,19.4,
741,4.4,41.0,17.0,16.5,
742,4.4,42.0,18.0,13.4,
743,4.6,44.0,18.0,16.0,
744,4.6,46.0,18.0,15.1,
745,4.6,48.0,19.0,16.7,
746,4.7,50.0,19.0,16.5,
747,5.0,48.0,20.0,17.8,
748,5.0,46.0,20.0,17.3,
749,5.1,47.0,21.0,17.3,
750,5.2,46.0,23.0,14.4,
751,4.9,48.0,23.0,12.5,
752,4.6,50.0,22.0,13.7,
753,4.7,51.0,22.0,13.1,
754,5.1,51.0,19.0,13.1,
755,4.9,48.0,19.0,11.9,
756,4.5,45.0,18.0,9.2,
757,4.4,42.0,18.0,7.9,
758,4.2,40.0,18.0,7.0,
759,4.2,38.0,18.0,6.7,
760,4.0,36.0,17.0,6.2,
761,4.0,35.0,16.0,6.7,
762,4.0,34.0,14.0,8.4,
763,4.1,34.0,13.0,13.3,
764,4.4,36.0,12.0,15.0,
765,4.6,37.0,12.0,12.6,
766,4.5,36.0,13.0,15.0,
767,4.6,38.0,13.0,15.8,
768,4.9,37.0,13.0,16.6,
769,4.7,38.0,14.0,13.7,
770,4.5,38.0,14.0,11.5,
771,4.5,36.0,13.0,11.2,
772,4.4,35.0,12.0,14.4,
773,4.5,34.0,10.0,9.9,
774,4.4,32.0,10.0,10.3,
775,4.4,32.0,10.0,12.3,
776,4.7,32.0,10.0,15.3,
777,5.0,34.0,12.0,11.2,
778,4.7,34.0,12.0,10.0,
779,4.6,34.0,13.0,8.6,
780,4.7,34.0,12.0,7.3,
781,5.0,30.0,11.0,8.1,
782,4.5,29.0,11.0,6.3,
783,4.4,30.0,11.0,5.5,
784,4.4,29.0,12.0,6.1,
785,4.5,30.0,13.0,7.8,
786,4.6,31.0,13.0,10.4,
787,4.2,37.0,17.0,16.2,
788,4.7,40.0,18.0,22.9,
789,5.2,40.0,19.0,22.1,
790,4.7,40.0,20.0,18.4,
791,4.7,38.0,17.0,13.7,
792,4.7,39.0,17.0,16.7,
793,4.7,38.0,17.0,16.3,
794,5.0,38.0,16.0,17.8,
795,4.6,37.0,16.0,14.9,
796,4.5,34.0,17.0,14.5,
797,4.5,34.0,17.0,14.5,
798,4.5,34.0,17.0,14.5,
799,4.6,34.0,17.0,17.8,
800,5.2,35.0,17.0,17.1,
801,6.2,38.0,18.0,16.8,
802,5.5,40.0,19.0,15.7,
803,5.4,41.0,19.0,12.6,
804,5.6,42.0,19.0,11.9,
805,6.0,42.0,19.0,12.4,
806,8.4,41.0,19.0,16.1,
807,5.7,42.0,21.0,9.4,
808,5.7,43.0,20.0,9.7,
809,8.8,42.0,21.0,19.0,
810,4.6,45.0,20.0,8.6,
811,4.0,46.0,20.0,8.7,
812,4.1,48.0,21.0,9.2,
813,4.4,49.0,22.0,9.3,
814,4.4,48.0,21.0,13.4,
815,5.6,46.0,21.0,14.7,
816,5.0,49.0,23.0,17.2,
817,4.7,49.0,24.0,13.1,
818,5.6,52.0,25.0,10.3,
819,6.1,54.0,28.0,8.3,
820,6.8,56.0,28.0,11.6,
821,6.5,58.0,30.0,9.1,
822,5.6,62.0,32.0,6.1,
823,4.5,68.0,33.0,6.5,
824,4.5,72.0,35.0,13.9,
825,5.4,74.0,37.0,15.6,
826,5.5,79.0,39.0,13.6,
827,5.4,86.0,43.0,14.0,
828,7.5,93.0,45.0,15.2,
829,7.8,101.0,48.0,11.6,
830,7.1,104.0,50.0,11.9,
831,7.2,104.0,51.0,9.3,
832,8.9,102.0,53.0,11.8,
833,12.0,101.0,53.0,16.6,
834,12.0,100.0,55.0,26.6,
835,8.9,100.0,57.0,30.0,
836,5.9,106.0,60.0,23.9,
837,5.9,112.0,64.0,33.1,
838,5.7,124.0,70.0,29.4,
839,6.2,134.0,76.0,24.1,
840,7.6,136.0,79.0,19.8,
841,5.2,126.0,73.0,10.5,
842,4.6,105.0,62.0,8.1,
843,6.3,84.0,50.0,12.0,
844,10.4,72.0,40.0,12.3,
845,7.6,68.0,38.0,13.7,
846,6.2,70.0,39.0,10.8,
847,8.3,78.0,45.0,8.6,
848,8.1,80.0,49.0,14.1,
849,5.9,78.0,48.0,15.3,
850,7.7,75.0,46.0,16.1,
851,6.1,71.0,41.0,9.6,
852,4.4,66.0,37.0,5.6,
853,4.4,62.0,34.0,4.7,
854,3.9,56.0,30.0,4.2,
855,3.6,48.0,26.0,3.9,
856,3.6,41.0,22.0,3.4,
857,3.8,38.0,19.0,4.4,
858,3.6,34.0,18.0,5.2,
859,3.5,32.0,15.0,6.5,
860,3.6,30.0,13.0,5.7,
861,3.8,29.0,12.0,4.9,
862,3.6,28.0,9.0,4.2,
863,3.6,24.0,7.0,3.3,
864,3.5,20.0,5.0,2.3,
865,3.6,18.0,4.0,1.4,
866,3.8,16.0,3.0,1.2,
867,3.5,16.0,3.0,0.4,
868,3.5,16.0,3.0,0.4,
869,3.3,16.0,2.0,0.1,
870,3.1,16.0,2.0,0.3,
871,3.1,14.0,2.0,0.9,
872,3.3,14.0,2.0,1.0,
873,3.4,13.0,1.0,2.3,
874,3.5,13.0,2.0,3.4,
875,3.5,14.0,2.0,4.6,
876,3.5,14.0,2.0,3.4,
877,3.8,15.0,2.0,3.4,
878,3.9,14.0,2.0,4.0,
879,5.0,13.0,4.0,8.4,
880,4.1,22.0,12.0,6.1,
881,4.4,26.0,15.0,7.0,
882,4.7,32.0,19.0,10.5,
883,4.1,39.0,23.0,10.8,
884,4.0,40.0,24.0,10.4,
885,4.0,40.0,24.0,10.4,
886,3.9,40.0,22.0,10.0,
887,4.0,36.0,19.0,12.4,
888,4.0,34.0,16.0,15.5,
889,4.4,32.0,16.0,14.6,
890,4.5,32.0,16.0,13.7,
891,3.8,32.0,15.0,11.9,
892,3.8,29.0,13.0,9.9,
893,3.6,28.0,12.0,9.7,
894,3.5,28.0,11.0,7.8,
895,3.3,28.0,11.0,6.1,
896,3.6,26.0,11.0,9.6,
897,3.8,27.0,12.0,9.7,
898,3.8,26.0,11.0,9.6,
899,3.8,28.0,11.0,9.7,
900,3.9,28.0,10.0,8.8,
901,4.0,27.0,9.0,7.0,
902,3.9,26.0,9.0,6.2,
903,3.8,24.0,10.0,6.5,
904,3.8,24.0,11.0,6.6,
905,3.9,24.0,12.0,7.7,
906,4.2,22.0,12.0,9.7,
907,3.8,26.0,13.0,11.3,
908,3.9,24.0,11.0,10.9,
909,4.0,24.0,10.0,9.1,
910,4.1,26.0,10.0,10.0,
911,4.4,22.0,9.0,9.9,
912,4.5,21.0,9.0,9.9,
913,4.5,22.0,7.0,10.4,
914,4.6,20.0,7.0,8.8,
915,4.0,21.0,6.0,7.8,
916,4.0,21.0,6.0,8.8,
917,4.0,18.0,5.0,9.9,
918,3.8,18.0,5.0,10.8,
919,4.0,20.0,5.0,9.9,
920,4.1,20.0,5.0,10.2,
921,4.5,20.0,5.0,11.4,
922,5.1,20.0,6.0,13.3,
923,5.2,20.0,5.0,12.4,
924,5.2,22.0,6.0,12.4,
925,4.9,23.0,7.0,9.3,
926,4.7,22.0,10.0,8.9,
927,5.4,24.0,11.0,8.4,
928,4.9,24.0,11.0,9.3,
929,4.4,25.0,11.0,6.3,
930,4.2,28.0,9.0,7.0,
931,3.9,25.0,9.0,8.8,
932,3.8,28.0,10.0,9.4,
933,4.1,30.0,10.0,9.3,
934,4.2,30.0,11.0,8.4,
935,4.4,34.0,12.0,8.7,
936,4.2,34.0,13.0,9.4,
937,4.5,38.0,16.0,11.3,
938,4.6,40.0,17.0,9.7,
939,3.8,40.0,16.0,1.2,
940,3.8,38.0,15.0,2.5,
941,3.8,34.0,13.0,2.5,
942,3.9,30.0,11.0,4.4,
943,3.8,30.0,10.0,5.2,
944,4.0,30.0,10.0,6.8,
945,4.0,30.0,10.0,8.2,
946,3.9,32.0,11.0,7.0,
947,3.9,31.0,11.0,7.1,
948,3.9,31.0,10.0,6.1,
949,4.0,28.0,8.0,6.0,
950,4.0,26.0,8.0,6.1,
951,4.0,24.0,8.0,6.2,
952,4.0,24.0,9.0,6.6,
953,4.1,25.0,10.0,6.8,
954,3.9,26.0,11.0,8.1,
955,3.8,26.0,10.0,8.9,
956,3.9,26.0,9.0,9.6,
957,4.0,26.0,7.0,8.9,
958,4.0,25.0,6.0,7.7,
959,3.9,24.0,6.0,7.8,
960,4.0,22.0,5.0,7.3,
961,4.1,21.0,5.0,6.5,
962,3.9,19.0,5.0,6.0,
963,3.8,19.0,5.0,6.0,
964,4.0,17.0,5.0,6.8,
965,3.9,17.0,4.0,5.2,
966,4.0,18.0,4.0,5.0,
967,4.0,18.0,4.0,5.0,
968,4.2,22.0,9.0,8.3,
969,4.5,26.0,12.0,9.3,
970,4.4,26.0,13.0,7.6,
971,4.4,28.0,13.0,7.1,
972,4.7,28.0,13.0,7.5,
973,4.9,32.0,16.0,6.8,
974,5.0,35.0,19.0,7.0,
975,4.9,39.0,23.0,7.1,
976,4.5,44.0,27.0,6.5,
977,4.2,43.0,26.0,6.3,
978,4.1,40.0,24.0,8.1,
979,4.0,39.0,22.0,11.0,
980,4.2,34.0,18.0,7.2,
981,4.4,33.0,17.0,6.8,
982,4.2,32.0,16.0,5.2,
983,4.0,31.0,15.0,4.1,
984,3.8,30.0,14.0,2.5,
985,4.0,26.0,12.0,2.4,
986,3.9,26.0,11.0,1.9,
987,4.0,24.0,11.0,2.6,
988,4.0,23.0,11.0,1.9,
989,3.9,23.0,11.0,2.8,
990,4.0,23.0,11.0,3.9,
991,4.0,23.0,11.0,3.9,
992,4.5,22.0,9.0,7.5,
993,4.5,21.0,8.0,8.8,
994,2.9,24.0,9.0,3.1,
995,3.4,26.0,10.0,6.3,
996,3.3,25.0,11.0,7.1,
997,2.8,26.0,11.0,5.2,
998,2.9,22.0,10.0,5.6,
999,3.0,20.0,9.0,7.9,
1000,3.4,20.0,8.0,13.1,
1001,3.1,24.0,11.0,13.5,
1002,3.1,24.0,11.0,13.5,
1003,3.1,24.0,11.0,13.5,
1004,3.1,24.0,11.0,13.5,
1005,3.0,28.0,12.0,13.6,
1006,2.8,26.0,11.0,12.1,
1007,2.8,22.0,11.0,14.5,
1008,2.6,22.0,11.0,13.4,
1009,2.9,21.0,12.0,10.8,
1010,3.5,22.0,13.0,9.4,
1011,3.5,23.0,13.0,8.8,
1012,3.8,24.0,12.0,9.9,
1013,3.3,25.0,12.0,10.3,
1014,3.1,25.0,11.0,9.7,
1015,2.8,28.0,13.0,9.3,
1016,2.5,30.0,14.0,6.6,
1017,2.5,29.0,13.0,8.2,
1018,2.6,28.0,12.0,7.8,
1019,2.5,26.0,12.0,5.4,
1020,2.3,24.0,10.0,5.2,
1021,2.3,23.0,10.0,5.4,
1022,2.4,23.0,10.0,5.1,
1023,2.6,21.0,9.0,8.2,
1024,2.5,22.0,8.0,8.3,
1025,2.4,22.0,9.0,7.9,
1026,2.5,21.0,8.0,6.7,
1027,2.6,21.0,8.0,6.0,
1028,2.8,20.0,8.0,6.7,
1029,3.1,22.0,7.0,9.7,
1030,3.5,23.0,8.0,11.0,
1031,3.3,24.0,8.0,7.9,
1032,3.0,26.0,10.0,6.0,
1033,2.6,27.0,12.0,2.2,
1034,2.4,26.0,11.0,1.9,
1035,2.5,28.0,12.0,2.8,
1036,2.8,27.0,11.0,4.2,
1037,2.5,28.0,11.0,4.6,
1038,2.8,29.0,12.0,5.9,
1039,3.0,30.0,13.0,6.3,
1040,2.6,31.0,13.0,5.9,
1041,2.5,31.0,13.0,6.1,
1042,3.1,30.0,13.0,5.7,
1043,2.9,30.0,13.0,4.6,
1044,2.8,30.0,13.0,3.0,
1045,2.8,30.0,12.0,2.9,
1046,2.6,30.0,13.0,2.8,
1047,2.6,29.0,12.0,4.1,
1048,2.5,29.0,12.0,4.7,
1049,2.5,28.0,11.0,5.7,
1050,2.5,26.0,10.0,5.6,
1051,2.6,27.0,9.0,7.5,
1052,2.8,26.0,8.0,8.9,
1053,2.8,26.0,8.0,8.3,
1054,2.9,28.0,8.0,7.6,
1055,2.9,28.0,8.0,5.0,
1056,2.8,28.0,8.0,3.9,
1057,2.8,28.0,9.0,2.8,
1058,2.8,26.0,9.0,3.6,
1059,2.8,26.0,9.0,3.1,
1060,2.6,27.0,9.0,3.4,
1061,2.5,26.0,8.0,4.2,
1062,2.8,27.0,8.0,6.8,
1063,3.1,26.0,7.0,8.9,
1064,3.1,26.0,7.0,8.8,
1065,3.3,25.0,7.0,8.6,
1066,3.4,25.0,8.0,7.1,
1067,3.8,24.0,8.0,7.3,
1068,3.3,22.0,8.0,5.1,
1069,3.1,24.0,9.0,3.8,
1070,3.0,26.0,10.0,4.0,
1071,3.0,28.0,11.0,5.0,
1072,3.1,30.0,12.0,8.2,
1073,3.1,32.0,13.0,14.7,
1074,3.4,33.0,14.0,15.2,
1075,3.5,35.0,16.0,15.0,
1076,3.8,38.0,16.0,15.1,
1077,3.8,38.0,17.0,19.2,
1078,4.2,38.0,16.0,20.4,
1079,7.9,36.0,16.0,19.4,
1080,8.3,38.0,17.0,21.5,
1081,4.6,41.0,19.0,17.4,
1082,4.5,43.0,23.0,18.4,
1083,6.2,44.0,24.0,21.4,
1084,5.4,46.0,25.0,18.1,
1085,5.4,48.0,25.0,16.6,
1086,8.6,51.0,24.0,13.9,
1087,6.1,54.0,25.0,18.6,
1088,6.8,57.0,27.0,23.2,
1089,5.9,60.0,28.0,21.8,
1090,5.2,64.0,31.0,18.9,
1091,5.5,67.0,34.0,13.5,
1092,4.5,65.0,34.0,7.0,
1093,4.0,61.0,33.0,4.2,
1094,3.6,58.0,30.0,5.5,
1095,3.6,56.0,28.0,7.2,
1096,3.9,60.0,30.0,9.7,
1097,3.5,64.0,33.0,10.2,
1098,3.4,69.0,36.0,12.0,
1099,3.4,69.0,36.0,12.0,
1100,3.8,72.0,35.0,15.3,
1101,4.0,72.0,34.0,15.3,
1102,4.2,70.0,34.0,16.3,
1103,5.0,70.0,32.0,15.8,
1104,4.4,72.0,34.0,16.0,
1105,3.1,78.0,39.0,7.2,
1106,2.9,89.0,45.0,7.6,
1107,2.6,98.0,51.0,7.3,
1108,2.6,107.0,57.0,6.0,
1109,2.6,112.0,60.0,6.3,
1110,2.8,118.0,61.0,8.3,
1111,5.4,124.0,64.0,14.2,
1112,4.6,124.0,65.0,15.5,
1113,3.6,124.0,67.0,10.5,
1114,3.5,124.0,69.0,9.1,
1115,4.0,125.0,68.0,8.6,
1116,4.2,124.0,67.0,10.0,
1117,4.2,122.0,65.0,8.4,
1118,5.6,117.0,62.0,7.3,
1119,8.7,106.0,56.0,12.3,
1120,6.8,98.0,54.0,16.7,
1121,3.9,99.0,55.0,11.3,
1122,4.1,100.0,57.0,14.9,
1123,3.5,108.0,64.0,10.3,
1124,3.6,107.0,62.0,9.1,
1125,3.8,98.0,57.0,4.7,
1126,3.4,88.0,50.0,3.8,
1127,3.1,78.0,42.0,2.4,
1128,3.1,74.0,39.0,3.0,
1129,2.6,68.0,34.0,2.4,
1130,2.5,62.0,29.0,1.8,
1131,2.5,58.0,26.0,2.6,
1132,2.6,53.0,24.0,4.5,
1133,2.6,51.0,23.0,4.7,
1134,2.9,48.0,22.0,6.0,
1135,3.0,43.0,19.0,6.6,
1136,3.3,40.0,16.0,6.0,
1137,3.9,37.0,13.0,7.3,
1138,3.3,40.0,16.0,4.6,
1139,3.1,39.0,16.0,3.5,
1140,2.8,36.0,16.0,2.9,
1141,2.9,36.0,16.0,3.5,
1142,2.9,30.0,12.0,5.4,
1143,2.9,31.0,12.0,6.3,
1144,2.9,32.0,12.0,7.6,
1145,3.0,32.0,12.0,8.7,
1146,3.0,32.0,12.0,7.9,
1147,2.8,31.0,11.0,6.2,
1148,3.0,28.0,10.0,6.5,
1149,3.0,28.0,11.0,6.0,
1150,3.4,26.0,9.0,5.6,
1151,3.3,26.0,8.0,4.5,
1152,3.3,24.0,7.0,4.5,
1153,2.9,24.0,8.0,2.6,
1154,3.0,23.0,8.0,2.4,
1155,2.9,24.0,8.0,1.8,
1156,2.9,24.0,7.0,2.6,
1157,2.9,24.0,6.0,2.9,
1158,3.1,24.0,5.0,3.6,
1159,3.3,22.0,5.0,5.9,
1160,3.5,22.0,5.0,6.1,
1161,3.1,23.0,5.0,6.3,
1162,3.6,22.0,5.0,7.1,
1163,5.5,24.0,6.0,7.2,
1164,3.5,24.0,6.0,6.1,
1165,3.3,24.0,6.0,6.2,
1166,3.3,24.0,6.0,6.1,
1167,3.3,24.0,6.0,7.7,
1168,3.3,22.0,9.0,9.2,
1169,3.3,22.0,9.0,13.0,
1170,3.5,24.0,15.0,13.3,
1171,3.6,26.0,15.0,12.3,
1172,3.5,26.0,16.0,11.3,
1173,3.5,26.0,15.0,9.8,
1174,3.5,26.0,10.0,9.1,
1175,3.6,25.0,11.0,7.7,
1176,3.4,24.0,10.0,8.3,
1177,3.3,23.0,10.0,6.2,
1178,3.3,22.0,11.0,5.2,
1179,3.3,24.0,10.0,4.7,
1180,3.3,23.0,11.0,5.4,
1181,3.0,24.0,11.0,5.4,
1182,3.4,24.0,9.0,5.9,
1183,3.6,22.0,9.0,7.8,
1184,3.6,22.0,10.0,6.5,
1185,3.6,24.0,10.0,7.9,
1186,3.6,24.0,11.0,7.8,
1187,3.8,24.0,10.0,7.6,
1188,3.4,25.0,10.0,4.5,
1189,3.0,26.0,10.0,3.8,
1190,3.0,26.0,10.0,3.8,
1191,3.3,26.0,11.0,5.5,
1192,3.3,28.0,11.0,7.7,
1193,3.1,28.0,12.0,10.0,
1194,3.3,30.0,13.0,9.1,
1195,3.6,32.0,13.0,8.9,
1196,3.6,30.0,12.0,8.3,
1197,3.6,26.0,11.0,7.3,
1198,3.5,26.0,10.0,6.7,
1199,3.4,25.0,9.0,4.6,
1200,3.1,26.0,9.0,4.5,
1201,3.0,28.0,9.0,3.8,
1202,2.9,26.0,9.0,3.1,
1203,3.0,26.0,8.0,2.5,
1204,3.0,25.0,8.0,2.8,
1205,3.0,24.0,7.0,2.8,
1206,3.3,26.0,7.0,3.5,
1207,3.3,26.0,7.0,3.8,
1208,3.4,26.0,7.0,2.9,
1209,3.1,27.0,6.0,3.3,
1210,3.1,26.0,7.0,3.1,
1211,3.1,28.0,7.0,3.1,
1212,3.0,26.0,7.0,3.4,
1213,3.0,28.0,8.0,3.5,
1214,3.1,26.0,7.0,3.5,
1215,3.5,24.0,8.0,5.6,
1216,3.5,32.0,13.0,6.3,
1217,3.3,36.0,17.0,7.1,
1218,3.3,38.0,19.0,6.2,
1219,3.5,39.0,19.0,7.2,
1220,3.5,34.0,16.0,7.2,
1221,3.6,30.0,13.0,5.1,
1222,3.3,28.0,12.0,3.0,
1223,3.4,27.0,11.0,2.4,
1224,3.1,28.0,11.0,2.3,
1225,3.0,26.0,11.0,2.5,
1226,2.9,26.0,10.0,1.8,
1227,2.8,25.0,10.0,2.9,
1228,3.1,22.0,9.0,4.2,
1229,3.1,23.0,8.0,4.0,
1230,3.8,22.0,7.0,7.0,
1231,3.6,23.0,8.0,7.3,
1232,3.6,25.0,8.0,5.5,
1233,3.6,24.0,9.0,5.0,
1234,3.6,25.0,9.0,5.5,
1235,3.6,26.0,10.0,4.4,
1236,3.3,25.0,11.0,3.4,
1237,3.4,27.0,11.0,4.2,
1238,3.3,28.0,12.0,4.6,
1239,3.3,30.0,13.0,5.2,
1240,3.3,30.0,13.0,5.2,
1241,3.3,32.0,18.0,11.5,
1242,3.6,38.0,21.0,12.8,
1243,3.8,44.0,25.0,11.0,
1244,3.6,51.0,30.0,7.7,
1245,3.5,54.0,33.0,4.5,
1246,3.3,52.0,34.0,3.4,
1247,3.1,50.0,34.0,2.5,
1248,3.0,45.0,32.0,1.9,
1249,2.8,42.0,31.0,2.3,
1250,3.1,44.0,31.0,2.3,
1251,3.1,44.0,30.0,2.5,
1252,3.1,45.0,30.0,2.2,
1253,3.0,46.0,29.0,3.1,
1254,3.3,44.0,29.0,3.0,
1255,3.5,43.0,28.0,4.2,
1256,3.5,40.0,27.0,4.2,
1257,3.4,38.0,25.0,3.3,
1258,3.3,38.0,23.0,3.8,
1259,3.6,36.0,21.0,4.5,
1260,3.9,36.0,21.0,6.6,
1261,3.5,36.0,22.0,6.0,
1262,3.3,36.0,23.0,4.9,
1263,3.1,34.0,23.0,5.7,
1264,3.1,34.0,23.0,6.7,
1265,3.1,34.0,21.0,8.6,
1266,3.5,35.0,20.0,7.3,
1267,3.5,34.0,20.0,4.9,
1268,3.6,32.0,18.0,4.2,
1269,3.6,31.0,18.0,4.5,
1270,3.6,30.0,18.0,4.4,
1271,3.6,30.0,19.0,3.8,
1272,3.5,31.0,19.0,2.9,
1273,3.4,29.0,18.0,3.0,
1274,3.4,26.0,17.0,3.9,
1275,3.1,27.0,16.0,5.5,
1276,3.0,26.0,16.0,4.7,
1277,3.0,26.0,16.0,5.1,
1278,3.3,26.0,15.0,11.6,
1279,3.5,24.0,15.0,18.1,
1280,3.8,24.0,15.0,17.0,
1281,3.9,24.0,15.0,9.4,
1282,4.1,24.0,15.0,11.2,
1283,4.2,25.0,15.0,13.3,
1284,4.2,25.0,15.0,13.3,
1285,4.0,29.0,18.0,12.4,
1286,4.4,30.0,17.0,17.9,
1287,4.5,32.0,18.0,18.4,
1288,4.2,30.0,19.0,22.6,
1289,3.9,30.0,18.0,27.9,
1290,3.6,32.0,20.0,23.5,
1291,3.3,33.0,21.0,20.7,
1292,3.3,35.0,20.0,20.2,
1293,3.4,36.0,21.0,19.5,
1294,3.1,36.0,21.0,17.0,
1295,3.1,36.0,21.0,14.1,
1296,3.0,36.0,21.0,9.8,
1297,2.8,34.0,20.0,10.0,
1298,2.8,33.0,20.0,11.5,
1299,2.9,32.0,19.0,11.5,
1300,2.8,30.0,19.0,7.9,
1301,3.0,31.0,17.0,13.1,
1302,3.8,32.0,17.0,15.5,
1303,3.9,30.0,16.0,17.0,
1304,3.9,32.0,16.0,20.9,
1305,4.0,32.0,17.0,21.1,
1306,6.1,33.0,18.0,22.3,
1307,6.1,34.0,18.0,22.3,
1308,4.1,30.0,22.0,9.8,
1309,4.1,28.0,22.0,12.4,
1310,4.0,26.0,21.0,10.9,
1311,3.9,24.0,21.0,8.2,
1312,3.8,26.0,17.0,9.7,
1313,3.6,24.0,16.0,11.6,
1314,3.9,23.0,15.0,14.6,
1315,3.9,24.0,15.0,13.1,
1316,4.1,24.0,16.0,10.2,
1317,3.9,26.0,17.0,7.6,
1318,3.9,24.0,17.0,6.2,
1319,4.0,22.0,15.0,5.4,
1320,3.8,20.0,13.0,2.2,
1321,3.5,18.0,11.0,0.8,
1322,3.5,17.0,10.0,0.8,
1323,3.5,16.0,10.0,0.7,
1324,3.8,14.0,9.0,2.3,
1325,3.9,17.0,10.0,1.9,
1326,4.0,17.0,11.0,2.3,
1327,4.0,19.0,12.0,4.1,
1328,4.5,22.0,14.0,8.3,
1329,4.7,24.0,17.0,9.3,
1330,5.0,29.0,20.0,9.4,
1331,5.5,34.0,25.0,10.4,
1332,6.1,42.0,31.0,11.2,
1333,6.0,51.0,38.0,9.6,
1334,5.6,58.0,44.0,7.8,
1335,5.2,59.0,47.0,7.3,
1336,5.5,56.0,51.0,8.2,
1337,5.2,50.0,40.0,8.7,
1338,5.1,44.0,29.0,7.8,
1339,4.5,41.0,30.0,6.7,
1340,4.6,40.0,29.0,3.6,
1341,5.0,38.0,27.0,3.4,
1342,4.7,34.0,27.0,2.2,
1343,4.5,34.0,25.0,1.9,
1344,4.1,30.0,23.0,1.9,
1345,4.1,29.0,22.0,1.5,
1346,4.4,28.0,19.0,1.4,
1347,4.0,26.0,20.0,1.0,
1348,4.0,26.0,20.0,1.4,
1349,3.9,25.0,19.0,1.2,
1350,4.0,26.0,18.0,5.7,
1351,4.0,25.0,18.0,9.2,
1352,4.5,26.0,17.0,15.6,
1353,4.1,40.0,30.0,14.7,
1354,4.2,41.0,32.0,14.1,
1355,4.5,40.0,32.0,11.0,
1356,4.5,40.0,31.0,8.9,
1357,4.4,26.0,21.0,7.3,
1358,4.1,25.0,19.0,8.4,
1359,4.2,26.0,19.0,9.3,
1360,4.2,24.0,18.0,13.5,
1361,4.1,24.0,18.0,17.7,
1362,4.2,24.0,18.0,21.5,
1363,4.5,22.0,18.0,22.7,
1364,4.5,24.0,20.0,19.0,
1365,4.4,20.0,16.0,11.6,
1366,4.7,20.0,16.0,16.0,
1367,6.1,23.0,17.0,15.1,
1368,5.2,24.0,18.0,13.9,
1369,5.1,26.0,21.0,11.8,
1370,5.0,28.0,23.0,8.8,
1371,4.9,28.0,24.0,9.7,
1372,4.6,29.0,24.0,7.8,
1373,4.6,29.0,24.0,6.3,
1374,4.9,28.0,23.0,7.6,
1375,4.9,28.0,22.0,8.1,
1376,5.6,28.0,23.0,11.9,
1377,5.5,30.0,23.0,9.6,
1378,5.6,30.0,23.0,4.4,
1379,5.2,30.0,22.0,3.8,
1380,5.0,30.0,21.0,3.6,
1381,4.9,29.0,20.0,3.1,
1382,4.7,28.0,20.0,3.9,
1383,4.7,30.0,22.0,4.7,
1384,4.6,30.0,24.0,7.0,
1385,4.6,34.0,27.0,10.0,
1386,4.7,38.0,29.0,16.7,
1387,4.9,46.0,33.0,13.9,
1388,5.1,50.0,35.0,12.6,
1389,4.9,52.0,36.0,11.5,
1390,5.0,51.0,37.0,8.4,
1391,5.0,50.0,35.0,4.1,
1392,4.9,46.0,33.0,4.5,
1393,5.0,44.0,31.0,4.0,
1394,5.0,42.0,30.0,4.0,
1395,5.0,40.0,28.0,3.9,
1396,5.1,39.0,26.0,3.6,
1397,5.2,38.0,25.0,4.4,
1398,5.4,40.0,25.0,5.2,
1399,5.5,38.0,25.0,7.3,
1400,5.5,37.0,25.0,7.6,
1401,5.9,37.0,25.0,7.2,
1402,5.9,38.0,25.0,6.5,
1403,6.3,36.0,24.0,7.1,
1404,6.5,36.0,25.0,8.4,
1405,6.3,38.0,26.0,8.1,
1406,6.3,42.0,29.0,8.4,
1407,6.5,44.0,31.0,8.3,
1408,5.7,46.0,32.0,8.1,
1409,5.1,47.0,33.0,11.5,
1410,4.7,44.0,32.0,9.6,
1411,4.5,44.0,31.0,8.4,
1412,4.2,42.0,30.0,7.5,
1413,4.2,38.0,28.0,8.9,
1414,4.1,38.0,26.0,6.8,
1415,4.2,34.0,25.0,6.6,
1416,4.6,32.0,23.0,7.2,
1417,4.5,32.0,23.0,6.5,
1418,4.6,30.0,21.0,9.1,
1419,4.6,28.0,20.0,12.4,
1420,4.6,26.0,19.0,12.5,
1421,4.6,26.0,18.0,14.4,
1422,4.7,26.0,17.0,11.6,
1423,4.9,25.0,16.0,15.7,
1424,5.2,25.0,14.0,20.9,
1425,5.1,24.0,15.0,21.8,
1426,4.9,26.0,16.0,18.9,
1427,5.1,28.0,17.0,16.2,
1428,4.9,30.0,19.0,15.7,
1429,4.7,29.0,18.0,18.3,
1430,4.6,28.0,19.0,17.6,
1431,11.4,28.0,19.0,16.1,
1432,4.5,30.0,18.0,18.3,
1433,4.6,30.0,18.0,22.1,
1434,4.9,30.0,17.0,25.8,
1435,5.0,30.0,17.0,20.0,
1436,5.0,30.0,18.0,15.8,
1437,5.0,28.0,17.0,13.4,
1438,5.1,28.0,17.0,13.3,
1439,5.4,28.0,17.0,9.9,
1440,5.5,26.0,16.0,10.2,
1441,5.1,26.0,15.0,10.4,
1442,5.0,24.0,14.0,8.3,
1443,4.6,23.0,13.0,8.4,
1444,4.7,24.0,13.0,12.0,
1445,4.7,23.0,14.0,14.4,
