,SO2,PM10,PM25,NO2,pr
167,1.7,24.0,5.0,6.3,
168,1.5,25.0,5.0,4.9,
169,1.7,23.0,5.0,4.5,
170,1.5,24.0,5.0,3.1,
171,1.5,24.0,6.0,1.8,
172,1.8,24.0,6.0,2.6,
173,1.8,25.0,6.0,2.6,
174,1.7,24.0,5.0,2.4,
175,1.5,24.0,5.0,2.4,
176,1.7,24.0,5.0,3.8,
177,1.8,25.0,5.0,3.9,
178,1.9,26.0,5.0,5.0,
179,1.8,29.0,6.0,4.7,
180,1.9,30.0,7.0,4.6,
181,1.9,32.0,7.0,4.2,
182,2.3,33.0,8.0,5.1,
183,1.7,37.0,12.0,2.8,
184,1.7,38.0,13.0,3.0,
185,1.7,38.0,13.0,3.4,
186,1.9,38.0,14.0,4.1,
187,1.8,36.0,12.0,5.1,
188,1.5,38.0,13.0,5.9,
189,1.9,39.0,15.0,5.4,
190,1.9,40.0,15.0,4.4,
191,1.8,40.0,15.0,4.6,
192,1.8,38.0,14.0,3.1,
193,1.7,36.0,14.0,2.8,
194,1.5,34.0,13.0,1.5,
195,1.7,32.0,11.0,1.3,
196,1.9,28.0,11.0,1.2,
197,1.9,28.0,11.0,1.3,
198,1.7,26.0,11.0,1.4,
199,1.5,28.0,11.0,1.3,
200,1.4,29.0,10.0,1.2,
201,1.4,30.0,10.0,1.9,
202,1.5,32.0,11.0,2.3,
203,1.5,31.0,10.0,2.6,
204,1.8,30.0,11.0,3.6,
205,2.0,29.0,13.0,4.0,
206,1.8,32.0,15.0,3.9,
207,1.7,33.0,17.0,3.3,
208,1.7,34.0,18.0,3.9,
209,1.8,34.0,18.0,4.4,
210,1.9,36.0,19.0,5.5,
211,1.8,37.0,19.0,7.5,
212,1.4,41.0,20.0,7.8,
213,1.9,43.0,21.0,8.9,
214,2.0,44.0,23.0,6.8,
215,1.8,44.0,24.0,5.9,
216,1.8,43.0,25.0,4.2,
217,1.7,42.0,25.0,3.6,
218,1.8,41.0,24.0,2.5,
219,1.8,41.0,24.0,1.8,
220,1.9,41.0,23.0,1.7,
221,1.9,40.0,22.0,1.5,
222,1.8,40.0,22.0,1.7,
223,1.7,40.0,22.0,1.9,
224,1.8,39.0,23.0,2.4,
225,2.0,41.0,24.0,4.1,
226,2.3,41.0,25.0,9.7,
227,2.3,42.0,26.0,9.9,
228,2.3,44.0,27.0,5.4,
229,2.5,46.0,28.0,5.5,
230,2.5,48.0,30.0,5.5,
231,2.4,52.0,33.0,5.6,
232,2.2,56.0,35.0,6.8,
233,2.0,58.0,37.0,7.7,
234,2.0,60.0,36.0,8.8,
235,2.5,60.0,35.0,10.4,
236,2.5,60.0,35.0,10.4,
237,2.5,60.0,35.0,10.4,
238,2.5,60.0,35.0,10.4,
239,2.5,60.0,35.0,10.4,
240,2.6,56.0,31.0,6.3,
241,3.0,52.0,30.0,5.4,
242,2.3,48.0,29.0,4.5,
243,1.9,46.0,27.0,5.1,
244,2.3,44.0,27.0,6.6,
245,2.2,43.0,26.0,9.1,
246,2.4,42.0,25.0,6.8,
247,2.0,42.0,24.0,7.1,
248,1.9,40.0,23.0,6.8,
249,2.2,39.0,22.0,10.7,
250,2.0,38.0,22.0,10.9,
251,2.4,38.0,22.0,9.7,
252,2.8,38.0,21.0,7.8,
253,3.3,36.0,20.0,7.6,
254,3.5,34.0,19.0,7.1,
255,3.1,36.0,18.0,6.1,
256,3.1,38.0,19.0,6.0,
257,3.0,39.0,18.0,6.1,
258,3.0,41.0,19.0,7.1,
259,3.0,42.0,19.0,9.9,
260,3.3,42.0,19.0,15.0,
261,3.3,42.0,20.0,11.3,
262,3.5,41.0,19.0,6.6,
263,3.3,39.0,17.0,6.0,
264,3.5,39.0,16.0,5.2,
265,3.8,37.0,16.0,5.1,
266,3.3,38.0,15.0,4.5,
267,2.8,36.0,14.0,4.1,
268,3.3,34.0,13.0,5.9,
269,3.1,33.0,12.0,6.5,
270,3.0,33.0,12.0,6.3,
271,3.0,31.0,12.0,8.7,
272,2.8,30.0,12.0,7.9,
273,2.6,28.0,12.0,7.7,
274,2.9,28.0,12.0,10.7,
275,2.9,30.0,12.0,6.8,
276,2.9,30.0,12.0,5.6,
277,3.4,31.0,12.0,7.0,
278,3.4,32.0,11.0,7.7,
279,3.3,32.0,11.0,6.6,
280,3.0,34.0,12.0,6.0,
281,3.0,35.0,12.0,6.3,
282,3.0,35.0,13.0,8.1,
283,3.1,37.0,13.0,9.6,
284,2.9,37.0,13.0,10.8,
285,2.8,37.0,13.0,10.9,
286,2.8,36.0,13.0,8.7,
287,2.8,34.0,12.0,5.4,
288,2.8,32.0,12.0,7.0,
289,2.5,28.0,12.0,7.6,
290,2.6,30.0,11.0,4.7,
291,2.6,29.0,11.0,8.6,
292,2.8,27.0,10.0,9.9,
293,2.9,28.0,9.0,10.3,
294,2.8,25.0,9.0,5.9,
295,2.5,24.0,8.0,10.3,
296,2.5,24.0,8.0,13.5,
297,3.0,23.0,8.0,17.2,
298,3.4,24.0,9.0,13.9,
299,2.8,24.0,9.0,5.6,
300,2.8,24.0,9.0,5.6,
301,4.1,26.0,11.0,5.2,
302,4.5,27.0,12.0,6.0,
303,3.9,28.0,12.0,5.6,
304,3.6,28.0,13.0,4.5,
305,3.4,28.0,12.0,4.6,
306,3.5,27.0,12.0,6.2,
307,3.9,28.0,13.0,9.4,
308,3.8,29.0,13.0,14.4,
309,4.0,32.0,13.0,12.4,
310,3.9,32.0,13.0,11.9,
311,3.8,32.0,14.0,10.4,
312,4.1,34.0,15.0,9.2,
313,4.2,31.0,14.0,8.4,
314,4.1,30.0,14.0,8.9,
315,4.0,30.0,14.0,10.3,
316,4.0,30.0,13.0,3.5,
317,3.9,30.0,13.0,2.8,
318,3.6,30.0,12.0,2.6,
319,3.6,30.0,11.0,2.6,
320,3.3,26.0,12.0,4.2,
321,3.3,26.0,11.0,5.9,
322,3.3,28.0,12.0,6.1,
323,3.8,27.0,11.0,6.1,
324,4.0,29.0,11.0,6.0,
325,4.1,30.0,12.0,5.4,
326,3.6,30.0,11.0,4.0,
327,3.4,32.0,12.0,3.4,
328,3.4,30.0,11.0,2.8,
329,3.4,31.0,11.0,3.4,
330,3.4,31.0,12.0,4.0,
331,3.4,32.0,12.0,5.7,
332,3.8,35.0,13.0,8.3,
333,3.8,36.0,14.0,7.2,
334,3.8,36.0,15.0,6.1,
335,3.8,37.0,15.0,5.6,
336,3.6,37.0,15.0,5.5,
337,3.6,38.0,16.0,4.2,
338,3.8,38.0,16.0,4.1,
339,3.8,38.0,17.0,3.3,
340,3.8,38.0,18.0,2.3,
341,3.9,39.0,17.0,2.6,
342,3.9,38.0,16.0,2.6,
343,3.9,36.0,16.0,3.1,
344,3.8,34.0,16.0,3.0,
345,3.8,33.0,16.0,3.9,
346,4.2,33.0,16.0,5.9,
347,3.9,33.0,16.0,5.9,
348,3.5,34.0,16.0,4.1,
349,3.9,36.0,17.0,5.1,
350,4.0,36.0,17.0,6.1,
351,3.8,38.0,18.0,5.1,
352,3.5,39.0,19.0,4.4,
353,3.5,39.0,21.0,4.6,
354,3.9,41.0,22.0,7.1,
355,4.0,45.0,25.0,9.9,
356,3.8,48.0,26.0,11.2,
357,4.1,50.0,27.0,12.1,
358,4.1,51.0,29.0,10.5,
359,3.6,49.0,28.0,6.8,
360,3.5,48.0,27.0,5.2,
361,3.3,47.0,25.0,2.8,
362,3.1,44.0,24.0,2.6,
363,3.1,44.0,22.0,3.0,
364,3.3,42.0,21.0,2.0,
365,3.5,42.0,21.0,2.0,
366,3.6,42.0,22.0,2.3,
367,3.6,40.0,22.0,2.9,
368,3.5,40.0,22.0,3.3,
369,3.4,40.0,22.0,4.4,
370,3.4,39.0,22.0,4.1,
371,3.3,39.0,21.0,3.0,
372,3.4,38.0,20.0,3.0,
373,3.6,36.0,20.0,3.8,
374,3.9,37.0,20.0,4.2,
375,3.8,37.0,20.0,4.7,
376,3.6,38.0,21.0,4.5,
377,3.6,40.0,23.0,4.6,
378,3.6,42.0,24.0,5.0,
379,3.6,42.0,24.0,6.2,
380,3.5,42.0,24.0,5.7,
381,3.1,41.0,22.0,2.9,
382,3.3,40.0,21.0,2.8,
383,3.4,38.0,20.0,2.6,
384,3.3,37.0,19.0,2.4,
385,3.3,36.0,19.0,2.2,
386,3.3,38.0,20.0,2.2,
387,3.3,40.0,22.0,1.7,
388,3.1,46.0,27.0,1.8,
389,3.4,53.0,32.0,1.8,
390,3.4,56.0,36.0,2.4,
391,3.1,60.0,38.0,3.5,
392,3.1,57.0,37.0,3.9,
393,3.4,54.0,34.0,4.0,
394,3.4,50.0,30.0,6.1,
395,3.4,46.0,27.0,4.2,
396,3.3,42.0,24.0,3.5,
397,3.4,40.0,22.0,3.8,
398,3.5,38.0,21.0,3.3,
399,3.5,38.0,21.0,3.3,
400,3.6,35.0,18.0,3.6,
401,3.6,34.0,17.0,4.5,
402,3.5,33.0,16.0,4.0,
403,3.4,29.0,15.0,6.0,
404,3.3,26.0,13.0,7.0,
405,3.3,26.0,12.0,6.5,
406,3.4,26.0,11.0,4.5,
407,3.4,26.0,10.0,3.6,
408,3.4,24.0,9.0,3.1,
409,3.4,23.0,9.0,2.4,
410,3.3,20.0,8.0,2.5,
411,3.1,18.0,8.0,2.5,
412,3.3,20.0,7.0,4.2,
413,3.6,18.0,7.0,10.2,
414,3.6,19.0,7.0,10.8,
415,3.8,20.0,8.0,12.3,
416,3.4,20.0,8.0,11.2,
417,4.5,20.0,8.0,14.7,
418,5.2,22.0,9.0,16.6,
419,5.0,23.0,12.0,20.0,
420,4.7,26.0,12.0,15.1,
421,4.7,27.0,13.0,9.7,
422,5.5,27.0,13.0,6.0,
423,5.9,28.0,13.0,6.8,
424,4.9,30.0,14.0,6.1,
425,3.9,31.0,15.0,6.3,
426,4.6,34.0,14.0,7.7,
427,4.2,32.0,12.0,10.5,
428,4.1,30.0,12.0,15.6,
429,3.9,32.0,12.0,14.7,
430,4.0,29.0,11.0,15.7,
431,3.9,30.0,10.0,17.7,
432,3.5,29.0,11.0,17.2,
433,3.4,27.0,10.0,14.6,
434,3.4,26.0,10.0,17.0,
435,3.8,26.0,10.0,17.4,
436,3.6,26.0,10.0,17.2,
437,3.5,25.0,10.0,17.1,
438,3.5,26.0,10.0,13.9,
439,3.8,27.0,11.0,18.1,
440,3.8,28.0,12.0,18.2,
441,5.6,30.0,13.0,16.5,
442,5.1,36.0,19.0,20.8,
443,5.1,36.0,19.0,20.8,
444,5.1,36.0,19.0,20.8,
445,5.1,36.0,19.0,20.8,
446,4.4,40.0,23.0,8.3,
447,4.1,38.0,21.0,5.0,
448,3.8,38.0,20.0,3.9,
449,3.8,38.0,18.0,4.1,
450,3.5,36.0,17.0,5.1,
451,3.5,36.0,17.0,6.8,
452,3.4,36.0,17.0,10.8,
453,3.6,38.0,17.0,15.2,
454,3.8,37.0,17.0,15.2,
455,4.0,38.0,17.0,14.6,
456,3.9,40.0,17.0,18.3,
457,4.1,42.0,16.0,15.5,
458,4.2,42.0,17.0,15.8,
459,4.4,44.0,18.0,19.0,
460,4.9,46.0,19.0,20.0,
461,4.6,46.0,22.0,18.3,
462,4.2,48.0,24.0,17.7,
463,3.8,50.0,25.0,17.9,
464,4.0,49.0,26.0,17.4,
465,4.5,48.0,26.0,15.5,
466,4.7,46.0,24.0,14.6,
467,4.6,46.0,22.0,12.0,
468,4.5,46.0,21.0,7.9,
469,4.5,43.0,19.0,7.8,
470,3.9,42.0,19.0,4.7,
471,3.6,40.0,18.0,4.2,
472,3.6,36.0,16.0,4.6,
473,3.6,34.0,15.0,4.2,
474,3.4,32.0,13.0,5.1,
475,4.5,32.0,12.0,11.0,
476,3.6,43.0,19.0,10.5,
477,3.5,45.0,20.0,7.8,
478,3.5,46.0,20.0,6.1,
479,3.6,45.0,19.0,7.5,
480,3.6,38.0,12.0,9.3,
481,3.6,37.0,11.0,6.6,
482,3.5,38.0,11.0,4.5,
483,3.4,36.0,11.0,4.2,
484,3.3,36.0,11.0,4.6,
485,3.3,36.0,11.0,5.0,
486,3.3,34.0,12.0,5.0,
487,3.1,33.0,13.0,5.4,
488,3.1,30.0,10.0,6.1,
489,3.5,30.0,10.0,7.2,
490,3.5,31.0,10.0,9.3,
491,3.5,31.0,10.0,9.3,
492,3.5,31.0,10.0,9.3,
493,3.5,31.0,10.0,9.3,
494,3.5,31.0,10.0,5.4,
495,3.4,31.0,10.0,4.7,
496,3.4,25.0,11.0,4.6,
497,3.1,26.0,12.0,4.6,
498,3.4,27.0,12.0,6.5,
499,3.3,28.0,13.0,9.6,
500,3.3,30.0,14.0,12.8,
501,3.6,32.0,14.0,9.4,
502,3.8,33.0,15.0,7.7,
503,3.4,35.0,15.0,6.1,
504,3.4,34.0,15.0,5.5,
505,3.5,34.0,14.0,3.6,
506,3.3,36.0,14.0,1.5,
507,2.9,34.0,14.0,2.3,
508,3.1,35.0,13.0,0.9,
509,3.1,34.0,13.0,0.8,
510,3.0,32.0,13.0,0.5,
511,3.0,32.0,13.0,0.8,
512,3.0,32.0,13.0,1.0,
513,3.1,33.0,14.0,1.9,
514,3.4,34.0,14.0,2.9,
515,3.3,33.0,16.0,3.5,
516,3.3,33.0,15.0,3.9,
517,3.5,32.0,14.0,5.0,
518,3.5,30.0,13.0,4.4,
519,3.1,29.0,12.0,1.9,
520,3.1,28.0,14.0,2.0,
521,3.0,28.0,15.0,1.9,
522,2.9,28.0,15.0,2.0,
523,2.9,26.0,15.0,3.0,
524,2.9,26.0,14.0,3.6,
525,3.0,26.0,13.0,3.1,
526,3.0,25.0,13.0,1.8,
527,2.9,24.0,11.0,1.9,
528,2.9,23.0,9.0,1.5,
529,2.9,20.0,8.0,1.3,
530,3.0,20.0,6.0,1.2,
531,2.8,18.0,6.0,0.8,
532,2.8,17.0,5.0,0.8,
533,3.0,17.0,4.0,0.8,
534,3.3,15.0,4.0,1.0,
535,2.8,15.0,4.0,0.8,
536,2.6,15.0,4.0,1.4,
537,3.0,14.0,4.0,2.2,
538,3.1,14.0,4.0,3.5,
539,3.1,15.0,4.0,3.4,
540,3.3,14.0,4.0,2.8,
541,3.4,17.0,4.0,3.9,
542,3.6,18.0,4.0,4.4,
543,3.3,18.0,5.0,3.4,
544,3.4,21.0,6.0,4.2,
545,3.5,22.0,8.0,4.7,
546,3.4,24.0,10.0,6.3,
547,3.4,25.0,11.0,8.1,
548,3.3,26.0,12.0,12.8,
549,3.5,28.0,13.0,12.5,
550,3.5,31.0,14.0,11.2,
551,3.6,34.0,15.0,13.6,
552,3.8,36.0,15.0,18.3,
553,4.2,35.0,16.0,20.9,
554,4.5,35.0,18.0,19.0,
555,3.9,34.0,19.0,19.8,
556,3.6,33.0,20.0,18.7,
557,4.0,34.0,20.0,18.7,
558,3.8,36.0,19.0,17.2,
559,4.0,38.0,20.0,15.8,
560,4.5,40.0,21.0,17.3,
561,4.7,41.0,22.0,18.3,
562,5.0,44.0,23.0,24.0,
563,5.0,46.0,25.0,25.8,
564,6.3,50.0,26.0,28.7,
565,7.8,51.0,27.0,21.5,
566,5.2,49.0,26.0,13.3,
567,5.2,49.0,26.0,13.3,
568,5.6,48.0,25.0,10.2,
569,5.6,48.0,25.0,10.2,
570,3.6,44.0,21.0,6.5,
571,3.6,43.0,20.0,8.6,
572,3.5,44.0,19.0,11.2,
573,3.5,44.0,19.0,11.2,
574,3.5,44.0,19.0,11.2,
575,4.4,46.0,18.0,13.0,
576,4.6,46.0,17.0,13.7,
577,4.5,46.0,17.0,12.0,
578,4.6,48.0,16.0,10.8,
579,5.7,48.0,17.0,13.4,
580,12.9,47.0,18.0,16.1,
581,7.5,49.0,21.0,12.6,
582,6.0,54.0,25.0,9.4,
583,8.7,62.0,30.0,11.3,
584,9.2,75.0,41.0,11.6,
585,7.9,87.0,47.0,14.7,
586,7.2,94.0,51.0,15.7,
587,5.5,99.0,53.0,14.5,
588,4.9,101.0,51.0,10.8,
589,4.7,100.0,51.0,8.1,
590,4.9,100.0,52.0,6.0,
591,4.7,97.0,50.0,5.5,
592,4.4,90.0,46.0,5.2,
593,5.0,83.0,41.0,5.6,
594,7.9,76.0,37.0,10.4,
595,6.8,71.0,34.0,15.7,
596,4.0,70.0,33.0,11.8,
597,4.1,66.0,31.0,12.5,
598,4.0,64.0,29.0,11.0,
599,3.9,60.0,27.0,9.4,
600,3.8,57.0,23.0,6.3,
601,3.9,54.0,20.0,5.7,
602,3.6,50.0,18.0,5.2,
603,3.4,46.0,16.0,3.3,
604,3.3,42.0,14.0,3.0,
605,3.4,38.0,13.0,4.1,
606,3.4,38.0,12.0,3.1,
607,3.3,36.0,11.0,4.6,
608,3.4,34.0,10.0,6.1,
609,3.4,36.0,10.0,4.6,
610,3.6,36.0,9.0,6.6,
611,3.6,36.0,10.0,4.9,
612,3.8,34.0,10.0,4.0,
613,4.0,30.0,9.0,4.0,
614,3.9,26.0,9.0,5.5,
615,3.8,24.0,8.0,4.6,
616,3.8,24.0,7.0,4.9,
617,3.6,27.0,6.0,5.1,
618,3.6,27.0,7.0,5.5,
619,3.6,30.0,9.0,7.6,
620,3.5,30.0,10.0,10.8,
621,3.5,30.0,10.0,11.0,
622,3.8,32.0,11.0,10.8,
623,4.2,30.0,10.0,12.3,
624,3.9,32.0,11.0,11.8,
625,4.0,34.0,12.0,12.5,
626,4.2,36.0,15.0,13.7,
627,4.0,38.0,17.0,13.9,
628,3.8,38.0,18.0,8.7,
629,3.6,37.0,17.0,6.3,
630,3.6,34.0,14.0,6.6,
631,3.9,31.0,12.0,8.8,
632,3.8,32.0,11.0,7.9,
633,3.9,33.0,11.0,10.5,
634,4.4,32.0,11.0,13.9,
635,4.6,34.0,11.0,10.4,
636,4.4,34.0,13.0,8.2,
637,4.4,33.0,13.0,7.5,
638,4.9,32.0,13.0,7.6,
639,4.5,34.0,14.0,6.3,
640,4.4,37.0,16.0,5.2,
641,4.1,42.0,20.0,5.5,
642,4.2,45.0,23.0,7.8,
643,4.0,48.0,25.0,10.5,
644,4.1,51.0,25.0,15.1,
645,4.2,51.0,24.0,18.2,
646,4.5,54.0,24.0,17.7,
647,4.4,52.0,24.0,17.2,
648,4.7,50.0,23.0,21.4,
649,4.5,50.0,24.0,16.7,
650,4.6,48.0,23.0,17.0,
651,4.2,47.0,23.0,16.5,
652,4.1,47.0,23.0,17.0,
653,4.1,44.0,22.0,17.2,
654,4.0,45.0,22.0,13.7,
655,4.0,46.0,23.0,16.3,
656,3.8,46.0,23.0,16.1,
657,4.6,46.0,23.0,16.1,
658,5.5,47.0,22.0,20.8,
659,7.1,51.0,26.0,25.0,
660,8.3,58.0,29.0,30.8,
661,9.9,70.0,34.0,25.3,
662,7.0,77.0,38.0,14.4,
663,4.9,78.0,38.0,6.8,
664,4.2,75.0,37.0,4.7,
665,4.4,68.0,34.0,7.0,
666,4.2,63.0,32.0,7.9,
667,4.6,60.0,30.0,10.8,
668,3.9,82.0,40.0,7.7,
669,4.0,84.0,41.0,8.3,
670,4.0,84.0,39.0,6.3,
671,4.0,76.0,34.0,7.1,
672,4.1,66.0,28.0,7.8,
673,4.1,65.0,27.0,7.5,
674,4.1,65.0,27.0,7.2,
675,4.1,65.0,27.0,7.2,
676,4.0,64.0,27.0,7.6,
677,4.1,64.0,27.0,8.2,
678,4.0,64.0,28.0,8.6,
679,4.0,64.0,28.0,8.6,
680,4.0,54.0,22.0,5.6,
681,4.4,52.0,21.0,7.6,
682,4.6,52.0,22.0,9.2,
683,5.1,54.0,24.0,10.4,
684,4.6,58.0,28.0,10.8,
685,4.5,58.0,29.0,9.6,
686,4.5,58.0,29.0,9.6,
687,4.4,56.0,28.0,9.4,
688,4.4,48.0,25.0,11.5,
689,4.4,48.0,25.0,11.5,
690,6.2,46.0,26.0,15.5,
691,3.8,64.0,41.0,10.4,
692,3.8,64.0,41.0,10.4,
693,4.2,63.0,39.0,15.6,
694,3.9,63.0,38.0,10.5,
695,3.8,47.0,25.0,6.8,
696,3.8,45.0,23.0,5.9,
697,3.8,45.0,23.0,5.9,
698,4.2,38.0,19.0,9.8,
699,4.2,38.0,19.0,9.8,
700,3.6,38.0,18.0,5.7,
701,3.5,37.0,17.0,4.9,
702,3.5,36.0,16.0,4.9,
703,3.8,30.0,10.0,5.4,
704,3.8,28.0,9.0,6.3,
705,3.8,28.0,9.0,6.3,
706,4.0,26.0,8.0,6.6,
707,4.1,26.0,8.0,6.6,
708,4.1,24.0,7.0,6.8,
709,4.2,24.0,7.0,7.9,
710,4.1,26.0,9.0,7.0,
711,4.0,27.0,10.0,5.7,
712,4.0,27.0,12.0,5.7,
713,4.0,28.0,12.0,6.8,
714,4.0,29.0,11.0,8.9,
715,4.0,30.0,11.0,10.5,
716,4.2,32.0,12.0,11.2,
717,4.4,34.0,13.0,12.9,
718,4.5,34.0,14.0,12.0,
719,4.6,34.0,15.0,13.0,
720,4.6,34.0,15.0,13.4,
721,4.9,33.0,14.0,12.8,
722,4.6,32.0,13.0,11.0,
723,4.5,32.0,13.0,11.9,
724,4.7,30.0,13.0,10.9,
725,4.4,30.0,12.0,9.9,
726,4.2,32.0,12.0,10.7,
727,4.1,34.0,12.0,10.2,
728,3.6,34.0,12.0,10.0,
729,4.0,36.0,12.0,12.1,
730,4.2,34.0,12.0,11.9,
731,4.0,31.0,12.0,8.1,
732,4.1,30.0,11.0,7.6,
733,4.1,29.0,11.0,6.6,
