,SO2,CO,O3,PM10,PM25,NO2,pr
117,0.6,0.26,48.0,36.0,13.0,6.2,
118,0.7,0.26,47.0,38.0,14.0,8.6,
119,1.1,0.26,47.0,40.0,15.0,5.0,
120,0.8,0.27,46.0,40.0,13.0,4.4,
121,1.3,0.27,46.0,40.0,13.0,2.9,
122,1.2,0.27,46.0,38.0,13.0,2.5,
123,0.8,0.27,46.0,38.0,13.0,1.0,
124,1.1,0.28,45.0,36.0,12.0,2.7,
125,0.8,0.28,45.0,34.0,12.0,4.0,
126,1.3,0.28,44.0,34.0,13.0,2.7,
127,1.0,0.27,43.0,32.0,14.0,2.7,
128,1.2,0.26,43.0,32.0,14.0,3.2,
129,2.1,0.26,42.0,31.0,13.0,5.7,
130,1.1,0.25,42.0,31.0,12.0,1.8,
131,1.5,0.24,42.0,31.0,13.0,2.9,
132,1.3,0.24,42.0,32.0,13.0,4.4,
133,1.0,0.23,43.0,36.0,14.0,3.2,
134,1.6,0.23,44.0,38.0,14.0,5.1,
135,1.6,0.23,45.0,42.0,16.0,5.1,
136,3.2,0.23,47.0,45.0,16.0,8.1,
137,3.2,0.23,49.0,50.0,17.0,5.0,
138,2.7,0.23,49.0,56.0,18.0,5.5,
139,2.3,0.23,50.0,55.0,16.0,6.7,
140,2.3,0.23,51.0,56.0,15.0,8.7,
141,2.5,0.23,51.0,54.0,13.0,12.5,
142,2.5,0.23,51.0,51.0,14.0,13.7,
143,2.7,0.23,49.0,50.0,14.0,14.2,
144,3.4,0.24,47.0,48.0,15.0,13.9,
145,2.7,0.25,46.0,46.0,15.0,10.9,
146,2.5,0.25,45.0,43.0,15.0,9.8,
147,2.7,0.26,44.0,40.0,14.0,8.4,
148,2.9,0.26,43.0,37.0,14.0,7.8,
149,3.0,0.26,43.0,33.0,14.0,6.4,
150,3.1,0.26,43.0,29.0,12.0,9.0,
151,2.7,0.3,44.0,26.0,11.0,7.0,
152,2.5,0.29,45.0,25.0,9.0,5.5,
153,2.3,0.28,46.0,22.0,8.0,7.0,
154,2.9,0.27,46.0,22.0,8.0,8.1,
155,3.0,0.27,46.0,22.0,8.0,9.5,
156,3.1,0.27,46.0,22.0,9.0,11.4,
157,3.0,0.28,47.0,24.0,9.0,9.2,
158,3.2,0.29,48.0,28.0,9.0,9.6,
159,3.2,0.25,50.0,32.0,9.0,8.2,
160,3.2,0.27,51.0,38.0,10.0,7.6,
161,3.1,0.27,53.0,46.0,10.0,5.7,
162,3.1,0.28,54.0,50.0,11.0,5.4,
163,2.7,0.27,55.0,53.0,13.0,6.9,
164,2.9,0.26,56.0,55.0,12.0,10.1,
165,2.7,0.26,57.0,55.0,13.0,10.7,
166,2.5,0.25,57.0,56.0,13.0,12.3,
167,2.9,0.25,55.0,53.0,13.0,14.3,
168,3.0,0.25,54.0,50.0,13.0,11.1,
169,2.9,0.25,53.0,46.0,12.0,10.7,
170,2.5,0.25,52.0,44.0,12.0,8.6,
171,2.9,0.26,52.0,42.0,11.0,7.6,
172,3.1,0.26,52.0,40.0,12.0,7.3,
173,3.4,0.26,52.0,38.0,12.0,6.5,
174,3.2,0.25,53.0,34.0,11.0,8.1,
175,2.7,0.25,54.0,32.0,11.0,6.5,
176,2.9,0.24,55.0,29.0,10.0,5.3,
177,3.1,0.23,56.0,28.0,10.0,6.2,
178,3.0,0.22,56.0,28.0,10.0,8.6,
179,3.0,0.22,57.0,28.0,10.0,8.1,
180,2.9,0.21,56.0,28.0,11.0,9.5,
181,3.4,0.21,57.0,29.0,13.0,8.2,
182,3.4,0.21,57.0,32.0,13.0,7.9,
183,2.6,0.21,58.0,38.0,15.0,5.0,
184,3.1,0.21,58.0,50.0,15.0,3.5,
185,3.0,0.2,60.0,59.0,15.0,3.7,
186,2.7,0.2,62.0,64.0,14.0,4.4,
187,3.0,0.19,64.0,64.0,15.0,4.9,
188,3.2,0.19,67.0,67.0,15.0,5.5,
189,3.2,0.18,70.0,70.0,16.0,5.5,
190,3.1,0.18,72.0,68.0,18.0,6.7,
191,3.7,0.18,73.0,68.0,17.0,12.9,
192,5.4,0.18,72.0,65.0,17.0,15.6,
193,4.3,0.18,73.0,62.0,17.0,8.7,
194,5.8,0.18,72.0,61.0,16.0,14.9,
195,10.1,0.18,70.0,58.0,16.0,18.2,
196,4.0,0.17,69.0,54.0,16.0,5.9,
197,4.8,0.17,66.0,49.0,15.0,14.5,
198,7.8,0.16,64.0,45.0,14.0,19.2,
199,6.5,0.16,62.0,44.0,14.0,17.3,
200,7.2,0.17,61.0,42.0,15.0,14.8,
201,6.5,0.17,59.0,42.0,14.0,16.1,
202,5.1,0.17,58.0,42.0,15.0,13.9,
203,8.3,0.17,57.0,43.0,15.0,20.9,
204,8.4,0.19,55.0,43.0,15.0,16.7,
205,4.3,0.21,56.0,44.0,14.0,8.4,
206,4.1,0.23,59.0,44.0,15.0,8.2,
207,3.5,0.25,62.0,46.0,17.0,6.0,
208,3.6,0.26,65.0,50.0,18.0,5.9,
209,4.1,0.28,69.0,53.0,19.0,6.9,
210,3.6,0.3,73.0,58.0,21.0,6.3,
211,3.4,0.32,78.0,58.0,21.0,7.7,
212,3.9,0.33,82.0,60.0,21.0,8.4,
213,4.1,0.34,84.0,61.0,22.0,10.6,
214,3.6,0.34,85.0,62.0,23.0,12.5,
215,4.1,0.34,84.0,63.0,25.0,15.3,
216,3.5,0.33,83.0,62.0,26.0,9.5,
217,6.4,0.33,80.0,60.0,27.0,21.1,
218,11.9,0.33,77.0,56.0,28.0,22.5,
219,4.5,0.32,75.0,54.0,29.0,11.4,
220,5.3,0.31,73.0,54.0,29.0,16.2,
221,5.0,0.3,71.0,52.0,29.0,16.7,
222,7.4,0.29,69.0,50.0,28.0,24.3,
223,8.3,0.29,67.0,52.0,27.0,25.7,
224,8.4,0.29,64.0,52.0,28.0,28.1,
225,8.1,0.28,63.0,54.0,27.0,28.5,
226,12.1,0.3,61.0,55.0,29.0,31.4,
227,21.1,0.31,58.0,60.0,34.0,30.4,
228,12.9,0.33,55.0,64.0,37.0,27.4,
229,10.7,0.35,54.0,68.0,39.0,22.2,
230,6.5,0.38,55.0,73.0,41.0,16.6,
231,5.5,0.41,58.0,78.0,41.0,17.1,
232,6.0,0.45,62.0,85.0,44.0,15.3,
233,5.1,0.48,67.0,95.0,47.0,11.5,
234,4.9,0.48,72.0,102.0,50.0,12.9,
235,4.6,0.49,77.0,104.0,50.0,11.7,
236,4.4,0.49,81.0,103.0,47.0,10.9,
237,4.4,0.49,84.0,99.0,45.0,14.4,
238,4.4,0.49,84.0,99.0,45.0,14.4,
239,4.4,0.49,0.0,99.0,45.0,14.4,
240,4.4,0.49,0.0,99.0,45.0,14.4,
241,4.4,0.49,0.0,99.0,45.0,14.4,
242,4.6,0.45,67.0,76.0,38.0,17.7,
243,5.1,0.46,63.0,72.0,37.0,21.8,
244,5.3,0.45,59.0,69.0,35.0,17.3,
245,5.5,0.45,57.0,66.0,34.0,13.9,
246,7.4,0.44,55.0,64.0,32.0,20.4,
247,7.3,0.43,53.0,61.0,32.0,21.7,
248,4.9,0.41,53.0,59.0,32.0,15.7,
249,4.3,0.39,55.0,57.0,31.0,9.0,
250,5.0,0.37,55.0,54.0,31.0,23.0,
251,4.8,0.35,55.0,52.0,29.0,22.7,
252,5.3,0.34,53.0,52.0,28.0,25.0,
253,4.5,0.34,51.0,52.0,28.0,20.5,
254,2.9,0.34,52.0,54.0,26.0,16.7,
255,2.5,0.34,55.0,58.0,26.0,10.6,
256,2.3,0.34,58.0,63.0,25.0,9.7,
257,2.1,0.34,61.0,68.0,25.0,8.2,
258,2.0,0.34,64.0,70.0,25.0,8.7,
259,2.0,0.34,68.0,71.0,23.0,8.7,
260,2.3,0.33,72.0,72.0,22.0,10.0,
261,2.5,0.33,74.0,74.0,23.0,13.5,
262,2.5,0.33,74.0,74.0,23.0,16.7,
263,2.1,0.32,71.0,74.0,24.0,15.6,
264,2.2,0.32,67.0,70.0,23.0,17.8,
265,2.2,0.32,63.0,64.0,22.0,17.0,
266,3.2,0.32,59.0,60.0,22.0,18.2,
267,4.6,0.32,55.0,54.0,20.0,21.7,
268,7.7,0.32,52.0,52.0,20.0,25.0,
269,9.6,0.31,48.0,48.0,19.0,31.2,
270,4.9,0.3,45.0,46.0,18.0,29.3,
271,6.9,0.29,42.0,44.0,18.0,30.2,
272,5.3,0.28,41.0,42.0,18.0,25.8,
273,2.3,0.27,41.0,42.0,18.0,14.5,
274,3.0,0.27,40.0,40.0,18.0,18.9,
275,3.0,0.26,40.0,38.0,18.0,18.0,
276,2.7,0.27,41.0,39.0,18.0,18.2,
277,3.2,0.27,43.0,40.0,18.0,18.7,
278,2.9,0.27,47.0,42.0,18.0,12.4,
279,2.1,0.28,52.0,44.0,18.0,12.3,
280,1.7,0.28,58.0,50.0,18.0,10.5,
281,1.8,0.29,62.0,58.0,17.0,9.7,
282,1.6,0.28,67.0,62.0,16.0,9.0,
283,1.5,0.28,72.0,66.0,17.0,9.3,
284,1.5,0.27,75.0,69.0,18.0,10.6,
285,1.7,0.27,77.0,70.0,17.0,14.0,
286,1.3,0.27,76.0,72.0,18.0,17.1,
287,0.7,0.27,73.0,72.0,17.0,15.6,
288,1.1,0.27,69.0,66.0,17.0,13.1,
289,1.7,0.27,64.0,59.0,16.0,14.2,
290,1.1,0.27,59.0,54.0,15.0,9.1,
291,1.5,0.26,55.0,48.0,14.0,11.0,
292,3.7,0.26,50.0,45.0,13.0,19.1,
293,5.1,0.26,46.0,42.0,13.0,23.9,
294,4.4,0.25,43.0,40.0,13.0,23.8,
295,6.0,0.24,40.0,37.0,12.0,29.8,
296,7.7,0.23,37.0,34.0,12.0,26.0,
297,5.3,0.22,37.0,32.0,12.0,11.6,
298,3.6,0.22,36.0,30.0,12.0,15.8,
299,1.6,0.21,36.0,29.0,12.0,13.3,
300,7.8,0.22,35.0,28.0,13.0,28.5,
301,5.7,0.22,36.0,31.0,12.0,21.4,
302,2.9,0.22,38.0,36.0,13.0,14.0,
303,2.0,0.23,40.0,40.0,14.0,11.1,
304,2.3,0.24,42.0,44.0,14.0,10.7,
305,2.3,0.24,42.0,44.0,14.0,10.7,
306,2.3,0.25,47.0,53.0,14.0,8.6,
307,2.0,0.25,52.0,74.0,14.0,8.8,
308,2.0,0.24,59.0,78.0,14.0,8.8,
309,2.6,0.24,64.0,80.0,13.0,12.4,
310,2.7,0.24,65.0,80.0,13.0,12.9,
311,2.3,0.24,64.0,73.0,13.0,12.0,
312,2.2,0.24,62.0,67.0,13.0,16.7,
313,2.3,0.25,60.0,60.0,14.0,15.2,
314,2.2,0.26,57.0,56.0,14.0,12.8,
315,3.0,0.27,55.0,52.0,14.0,14.0,
316,2.6,0.29,52.0,49.0,14.0,13.4,
317,2.7,0.29,51.0,47.0,13.0,10.2,
